File Name,TItle,Description,Category,Level,Source Organization,Dates,Source URL,Attachment
2008_IA_Rates_WIC,Number of children receiving WIC in Iowa counties and 2003-2008 percent change,"Children Receiving WIC measures the average monthly number and percentage of childrenage 0-4 who are receiving services through the Women, Infants and Children Program.",CFPC Data ,State,Child & Family Policy Center,2003 and 2008,https://www.cfpciowa.org/en/data/kids_count/past_data/?year=2008,2008_IA_Rates_WIC.csv (https://dl.airtable.com/.attachments/14dc2f71b215fce5955e54344c263452/25c8b69a/2008_IA_Rates_WIC.csv)
2008_National_Credentials_Special_Education_Personnel,Special Education Teachers and Certification,Types of special education teachers employed and type of certification for all states in 2008,Special Education,National ,U.S. Department of Education,2008,https://www2.ed.gov/programs/osepidea/618-data/state-level-data-files/index.html#bd,2008_National_Credentials_Special_Education_Personnel.csv (https://dl.airtable.com/.attachments/2d35fb5ce1ad12cfd4ba88714050a357/6a3b2f11/2008_National_Credentials_Special_Education_Personnel.csv)
2008_National_Rates_Special_Education_Employment,,,Special Education,National ,U.S. Department of Education,2008,,2008_National_Rates_Special_Education_Employment.csv (https://dl.airtable.com/.attachments/b07cd9e6b69c4c819cd9701de0de4639/96d77bdd/2008_National_Rates_Special_Education_Employment.csv)
2008-09_National_Rates_SpecialEducation_Discipline,Discipline measures by disability and race for the 2008-09 school year for every state,Discipline by race and disability,Special Education,National ,U.S. Department of Education,2008-09,https://www2.ed.gov/programs/osepidea/618-data/state-level-data-files/part-b-data/discipline/bdiscipline2008-09.csv,2008-09_National_Rates_SpecialEducation_Discipline.csv (https://dl.airtable.com/.attachments/ce2940458402f45f19743dbbe92e0eab/e4266942/2008-09_National_Rates_SpecialEducation_Discipline.csv)
2008-14_AK_Rates_Arrests,Estimated arrests of persons under age 18 in Alaska,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_AK_Rates_Arrests.csv (https://dl.airtable.com/.attachments/6921967bc40e110b5b0c5068ead04d85/210bccd1/2008-14_AK_Rates_Arrests.csv)
2008-14_AL_Rates_Arrests,Estimated arrests of persons under age 18 in Alabama,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_AL_Rates_Arrests.csv (https://dl.airtable.com/.attachments/aa4327e19b61994665abf3755ae7c926/1b44ff31/2008-14_AL_Rates_Arrests.csv)
2008-14_AR_Rates_Arrests,Estimated arrests of persons under age 18 in Akansas,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_AR_Rates_Arrests.csv (https://dl.airtable.com/.attachments/5ef4bb55880da068a8c118504ef5f6ec/ce1908c2/2008-14_AR_Rates_Arrests.csv)
2008-14_AZ_Rates_Arrests,Estimated arrests of persons under age 18 in Arizona,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_AZ_Rates_Arrests.csv (https://dl.airtable.com/.attachments/965e463ed651f4ba187353341c73827f/7e959d28/2008-14_AZ_Rates_Arrests.csv)
2008-14_CA_Rates_Arrests,Estimated arrests of persons under age 18 in California ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_CA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/402a6b81506467d5c4e2015a6b6621cf/0283cf12/2008-14_CA_Rates_Arrests.csv)
2008-14_CO_Rates_Arrests,Estimated arrests of persons under age 18 in Colorado,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_CO_Rates_Arrests.csv (https://dl.airtable.com/.attachments/00e341ee4a88a9a3f97d4d5ee7640db4/b1cbbb37/2008-14_CO_Rates_Arrests.csv)
2008-14_CT_Rates_Arrests,Estimated arrests of persons under age 18 in Connecticut ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,
2008-14_DC_Rates_Arrests,Estimated arrests of persons under age 18 in District of Columbia ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_DC_Rates_Arrests.csv (https://dl.airtable.com/.attachments/c54615f31e9cb04a4c92c7b742e1aba4/3db03535/2008-14_DC_Rates_Arrests.csv)
2008-14_DE_Rates_Arrests,Estimated arrests of persons under age 18 in Delaware ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_DE_Rates_Arrests.csv (https://dl.airtable.com/.attachments/22d15046d8c56aaa626de4e9f9e671c1/7dfcd6cd/2008-14_DE_Rates_Arrests.csv)
2008-14_FL_Rates_Arrests,Estimated arrests of persons under age 18 in Florida,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_FL_Rates_Arrests.csv (https://dl.airtable.com/.attachments/cef389881a33984714375f59985a9b13/ddee2aed/2008-14_FL_Rates_Arrests.csv)
2008-14_GA_Rates_Arrests,Estimated arrests of persons under age 18 in 18 Georgia ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_GA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/31bcdfcab4457d8a13a4a368a0312427/c7c30e8d/2008-14_GA_Rates_Arrests.csv)
2008-14_HI_Rates_Arrests,Estimated arrests of persons under age 18 in Hawaii,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_HI_Rates_Arrests.csv (https://dl.airtable.com/.attachments/a153b1a778cd901f5a274f4adf9b89ce/73bedfd6/2008-14_HI_Rates_Arrests.csv)
2008-14_IA_Rates_Arrests,Estimated arrests of persons under age 18 in Iowa,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_IA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/0bf82ee4deae731a03768fe4945ad955/e2f3758e/2008-14_IA_Rates_Arrests.csv)
2008-14_ID_Rates_Arrests,Estimated arrests of persons under age 18 in Idaho,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_ID_Rates_Arrests.csv (https://dl.airtable.com/.attachments/aff6709c4bea0e0f30f224dffe5ea987/af564fec/2008-14_ID_Rates_Arrests.csv)
2008-14_IL_Rates_Arrests,Estimated arrests of persons under age 18 in Illinois ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_IL_Rates_Arrests.csv (https://dl.airtable.com/.attachments/79ddc5a13f2aa86790b8c73d8b2a4564/e139a412/2008-14_IL_Rates_Arrests.csv)
2008-14_IN_Rates_Arrests,Estimated arrests of persons under age 18 in Indiana ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_IN_Rates_Arrests.csv (https://dl.airtable.com/.attachments/ea45f072043626e1e0f5365c84878b96/c6475f29/2008-14_IN_Rates_Arrests.csv)
2008-14_KS_Rates_Arrests,Estimated arrests of persons under age 18 in Kansas,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_KS_Rates_Arrests.csv (https://dl.airtable.com/.attachments/f0930e87ec1e1a4afeaa68a0332d177d/5088ad8d/2008-14_KS_Rates_Arrests.csv)
2008-14_KY_Rates_Arrests,Estimated arrests of persons under age 18 in Kentucky ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_KY_Rates_Arrests.csv (https://dl.airtable.com/.attachments/41237f1f7b39e109a0ad844decab5198/c936c316/2008-14_KY_Rates_Arrests.csv)
2008-14_LA_Rates_Arrests,Estimated arrests of persons under age 18 in Louisiana,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_LA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/c93b04b43ba9e627afd602a138aa217f/ec758fe4/2008-14_LA_Rates_Arrests.csv)
2008-14_MA_Rates_Arrests,Estimated arrests of persons under age 18 in Massachusetts ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_MA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/61c9159702c960f3b14d13cf3cc963c0/3b7637cc/2008-14_MA_Rates_Arrests.csv)
2008-14_MD_Rates_Arrests,Estimated arrests of persons under age 18 in Maryland ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_MD_Rates_Arrests.csv (https://dl.airtable.com/.attachments/0e4481e423cfce2bcc7d4ad319f33d26/62eb7e8f/2008-14_MD_Rates_Arrests.csv)
2008-14_ME_Rates_Arrests,Estimated arrests of persons under age 18 in Maine ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_ME_Rates_Arrests.csv (https://dl.airtable.com/.attachments/d3d7983ed833e540dd407f42827ca5d4/533cc30a/2008-14_ME_Rates_Arrests.csv)
2008-14_MI_Rates_Arrests,Estimated arrests of persons under age 18 in Michigan ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_MI_Rates_Arrests.csv (https://dl.airtable.com/.attachments/cbe5984a48cbedf866ded0c08d3ad711/4ab67444/2008-14_MI_Rates_Arrests.csv)
2008-14_MN_Rates_Arrests,Estimated arrests of persons under age 18 in Minnesota ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_MN_Rates_Arrests.csv (https://dl.airtable.com/.attachments/614c0ab9971f1107e1792db9a14d0ae7/1cd95180/2008-14_MN_Rates_Arrests.csv)
2008-14_MO_Rates_Arrests,Estimated arrests of persons under age 18 in Missouri ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_MO_Rates_Arrests.csv (https://dl.airtable.com/.attachments/1a6e013422bc53088f82a45bff2bd599/231cdbae/2008-14_MO_Rates_Arrests.csv)
2008-14_MS_Rates_Arrests,Estimated arrests of persons under age 18 in Mississippi ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_MS_Rates_Arrests.csv (https://dl.airtable.com/.attachments/213a21acc16f4690d048a7a725ca1720/57624516/2008-14_MS_Rates_Arrests.csv)
2008-14_MT_Rates_Arrests,Estimated arrests of persons under age 18 in Montana ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_MT_Rates_Arrests.csv (https://dl.airtable.com/.attachments/c37976277f2f98c58ea93b3f784355b3/59d6fa86/2008-14_MT_Rates_Arrests.csv)
2008-14_NC_Rates_Arrests,Estimated arrests of persons under age 18 in North Carolina,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_NC_Rates_Arrests.csv (https://dl.airtable.com/.attachments/9596909cc2fe69130ba2fe527834445b/9a63e5b5/2008-14_NC_Rates_Arrests.csv)
2008-14_ND_Rates_Arrests,Estimated arrests of persons under age 18 in North Dakota,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_ND_Rates_Arrests.csv (https://dl.airtable.com/.attachments/bc56ed15b287a48843f299bf3bd05850/edf8fdf3/2008-14_ND_Rates_Arrests.csv)
2008-14_NE_Rates_Arrests,Estimated arrests of persons under age 18 in Nebraska ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_NE_Rates_Arrests.csv (https://dl.airtable.com/.attachments/b3dcfedb3631dd10264675eec72d3c42/630ac203/2008-14_NE_Rates_Arrests.csv)
2008-14_NH_Rates_Arrests,Estimated arrests of persons under age 18 in New Hampshire,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_NH_Rates_Arrests.csv (https://dl.airtable.com/.attachments/857d70d2325c153f1353af843e6eb5cc/f12cfa49/2008-14_NH_Rates_Arrests.csv)
2008-14_NJ_Rates_Arrests,Estimated arrests of persons under age 18 in New Jersey ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,
2008-14_NM_Rates_Arrests,Estimated arrests of persons under age 18 in New Mexico ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,
2008-14_NV_Rates_Arrests,Estimated arrests of persons under age 18 in Nevada ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_NV_Rates_Arrests.csv (https://dl.airtable.com/.attachments/4ca53804e450d5d987fe7c20694d7dbe/6bfc72ba/2008-14_NV_Rates_Arrests.csv)
2008-14_NY_Rates_Arrests,Estimated arrests of persons under age 18 in New York ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_NY_Rates_Arrests.csv (https://dl.airtable.com/.attachments/65e6e1ef1a67e2e44d78ec717bdf5346/c58fa0c3/2008-14_NY_Rates_Arrests.csv)
2008-14_OH_Rates_Arrests,Estimated arrests of persons under age 18 in Ohio,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_OH_Rates_Arrests.csv (https://dl.airtable.com/.attachments/e383e7d9a50b380591364656dee1ea58/28acf1ee/2008-14_OH_Rates_Arrests.csv)
2008-14_OK_Rates_Arrests,Estimated arrests of persons under age 18 in Oklahoma ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_OK_Rates_Arrests.csv (https://dl.airtable.com/.attachments/5ec780bd92fadde83c02d5baf8688f84/b5744437/2008-14_OK_Rates_Arrests.csv)
2008-14_OR_Rates_Arrests,Estimated arrests of persons under age 18 in Oregon ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_OR_Rates_Arrests.csv (https://dl.airtable.com/.attachments/c92aec61302e68f0b8080d5b74aaf353/ad0ee009/2008-14_OR_Rates_Arrests.csv)
2008-14_PA_Rates_Arrests,Estimated arrests of persons under age 18 in Pennsylvania ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_PA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/5c85d7274ceebf3bfd7622139f688b55/0148602b/2008-14_PA_Rates_Arrests.csv)
2008-14_RI_Rates_Arrests,Estimated arrests of persons under age 18 in Rhode Island ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_RI_Rates_Arrests.csv (https://dl.airtable.com/.attachments/fd0bc2c6a1a2cc07372a424e8f90c566/e8d0c340/2008-14_RI_Rates_Arrests.csv)
2008-14_SC_Rates_Arrests,Estimated arrests of persons under age 18 in South Carolina,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,
2008-14_SD_Rates_Arrests,Estimated arrests of persons under age 18 in South Dakota ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,
2008-14_TN_Rates_Arrests,Estimated arrests of persons under age 18 in Tennessee ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_TN_Rates_Arrests.csv (https://dl.airtable.com/.attachments/df75da3cfcc604119307e420d388bde9/15dd1af7/2008-14_TN_Rates_Arrests.csv)
2008-14_TX_Rates_Arrests,Estimated arrests of persons under age 18 in Texas,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_TX_Rates_Arrests.csv (https://dl.airtable.com/.attachments/62cceaf419a575155f40a832c9d1f4ae/1c28223a/2008-14_TX_Rates_Arrests.csv)
2008-14_UT_Rates_Arrests,Estimated arrests of persons under age 18 in Utah ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_UT_Rates_Arrests.csv (https://dl.airtable.com/.attachments/a914b7a73878412751e67e6321fa6d6d/e2a54dd2/2008-14_UT_Rates_Arrests.csv)
2008-14_VA_Rates_Arrests,Estimated arrests of persons under age 18 in Virginia,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_VA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/9720ec8472605e9e7b26284d1c370ff7/4d19b1d9/2008-14_VA_Rates_Arrests.csv)
2008-14_VT_Rates_Arrests,Estimated arrests of persons under age 18 in Vermont ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_VT_Rates_Arrests.csv (https://dl.airtable.com/.attachments/14ee487d7d78c3fb3df9fc29278882e9/b10ccc43/2008-14_VT_Rates_Arrests.csv)
2008-14_WA_Rates_Arrests,Estimated arrests of persons under age 18 in Washington ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_WA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/aa1c7cab633350b672ac9dca0032f010/b73c97bf/2008-14_WA_Rates_Arrests.csv)
2008-14_WI_Rates_Arrests,Estimated arrests of persons under age 18 in Wisconsin ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_WI_Rates_Arrests.csv (https://dl.airtable.com/.attachments/49fd3c0f063495a12b39942e771efd6a/f62ac970/2008-14_WI_Rates_Arrests.csv)
2008-14_WV_Rates_Arrests,Estimated arrests of persons under age 18 in West Virginia ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_WV_Rates_Arrests.csv (https://dl.airtable.com/.attachments/23752c4a6961295309f20dba7ad96f11/c09d598a/2008-14_WV_Rates_Arrests.csv)
2008-14_WY_Rates_Arrests,Estimated arrests of persons under age 18 in Wyoming ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2008-14_WY_Rates_Arrests.csv (https://dl.airtable.com/.attachments/21910c2d6f377beef20d11d18eb30e1e/1d6d138e/2008-14_WY_Rates_Arrests.csv)
2008-2014_CT_Rates_Arrests,Estimated arrests of persons under age 18 in Connecticut ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-14,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,
2008-2014_NJ_Rates_Arrests,Estimated arrests of persons under age 18 in New Jersey ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-2014,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,
2008-2014_NM_Rates_Arrests,Estimated arrests of persons under age 18 in New Mexico ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-2014,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,
2008-2014_SC_Rates_Arrests,Estimated arrests of persons under age 18 in South Carolina,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2008-2014,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,
