Year,State,Personnel Type,EmployedN/VCertified,EmployedN/Vnot Certified,Total Employed,Nation_ID,State_ID,Region_ID,Division_ID
2005,Illinois                 ,Audiologists                                 ,35,0,35,,17,2,3
2005,Illinois                 ,Teacher aides                                ,"28,645.00",0,"28,645.00",,17,2,3
2005,Illinois                 ,Recreation specialists                       ,1,0,1,,17,2,3
2005,Illinois                 ,Diagnostic & evaluation staff                ,19,0,19,,17,2,3
2005,Illinois                 ,Physical therapists                          ,362,0,362,,17,2,3
2005,Illinois                 ,Counselors                                   ,721,222,943,,17,2,3
2005,Illinois                 ,Speech pathologists                          ,          N/V,          N/V,          N/V,,17,2,3
2005,Illinois                 ,Supervisors/administrators                   ,948,3,951,,17,2,3
2005,Illinois                 ,Supervisors/administrators (SEA)             ,62,          N/V,62,,17,2,3
2005,Illinois                 ,Interpreters                                 ,273,0,273,,17,2,3
2005,Illinois                 ,Rehabilitation counselors                    ,12,0,12,,17,2,3
2005,Illinois                 ,Other professional staff                     ,981,101,"1,081.00",,17,2,3
2005,Illinois                 ,Non-professional staff                       ,"4,783.00",0,"4,783.00",,17,2,3
2005,Illinois                 ,Total                                        ,"43,192.00",433,"43,625.00",,17,2,3
2005,Indiana                  ,Special ed teachers for 3-5                  ,"1,176.00",31,"1,207.00",,18,2,3
2005,Indiana                  ,Special ed teachers for 6-21                 ,"6,023.00","1,016.00","7,039.00",,18,2,3
2005,Indiana                  ,Vocational education teachers                ,25,5,30,,18,2,3
2005,Indiana                  ,Physical education teachers                  ,24,1,25,,18,2,3
2005,Indiana                  ,Work-study coordinators                      ,13,0,13,,18,2,3
2005,Indiana                  ,Psychologists                                ,491,3,494,,18,2,3
2005,Indiana                  ,School social workers                        ,83,2,85,,18,2,3
2005,Indiana                  ,Occupational therapists                      ,211,5,216,,18,2,3
2005,Indiana                  ,Audiologists                                 ,11,0,11,,18,2,3
2005,Indiana                  ,Teacher aides                                ,"8,155.00",0,"8,155.00",,18,2,3
2005,Indiana                  ,Recreation specialists                       ,3,0,3,,18,2,3
2005,Indiana                  ,Diagnostic & evaluation staff                ,57,0,57,,18,2,3
2005,Indiana                  ,Physical therapists                          ,122,1,123,,18,2,3
2005,Indiana                  ,Counselors                                   ,24,2,26,,18,2,3
2005,Indiana                  ,Speech pathologists                          ,"1,184.00",51,"1,235.00",,18,2,3
2005,Indiana                  ,Supervisors/administrators                   ,274,7,281,,18,2,3
2005,Indiana                  ,Supervisors/administrators (SEA)             ,0,0,0,,18,2,3
2005,Indiana                  ,Interpreters                                 ,114,6,120,,18,2,3
2005,Indiana                  ,Rehabilitation counselors                    ,0,0,0,,18,2,3
2005,Indiana                  ,Other professional staff                     ,"1,500.00",0,"1,500.00",,18,2,3
2005,Indiana                  ,Non-professional staff                       ,0,0,0,,18,2,3
2005,Indiana                  ,Total                                        ,"12,291.00",83,"12,374.00",,18,2,3
2005,Iowa                     ,Special ed teachers for 3-5                  ,435,0,435,,19,2,4
2005,Iowa                     ,Special ed teachers for 6-21                 ,"5,604.00",0,"5,604.00",,19,2,4
2005,Iowa                     ,Vocational education teachers                ,20,0,20,,19,2,4
2005,Iowa                     ,Physical education teachers                  ,10,0,10,,19,2,4
2005,Iowa                     ,Work-study coordinators                      ,54,0,54,,19,2,4
2005,Iowa                     ,Psychologists                                ,334,0,334,,19,2,4
2005,Iowa                     ,School social workers                        ,238,0,238,,19,2,4
2005,Iowa                     ,Occupational therapists                      ,75,0,75,,19,2,4
2005,Iowa                     ,Audiologists                                 ,48,0,48,,19,2,4
2005,Iowa                     ,Teacher aides                                ,"6,881.00",0,"6,881.00",,19,2,4
2005,Iowa                     ,Recreation specialists                       ,4,0,4,,19,2,4
2005,Iowa                     ,Diagnostic & evaluation staff                ,0,0,0,,19,2,4
2005,Iowa                     ,Physical therapists                          ,49,0,49,,19,2,4
2005,Iowa                     ,Counselors                                   ,6,0,6,,19,2,4
2005,Iowa                     ,Speech pathologists                          ,506,0,506,,19,2,4
2005,Iowa                     ,Supervisors/administrators                   ,184,0,184,,19,2,4
2005,Iowa                     ,Supervisors/administrators (SEA)             ,35,0,35,,19,2,4
2005,Iowa                     ,Interpreters                                 ,132,0,132,,19,2,4
2005,Iowa                     ,Rehabilitation counselors                    ,4,0,4,,19,2,4
2005,Iowa                     ,Other professional staff                     ,494,0,494,,19,2,4
2005,Iowa                     ,Non-professional staff                       ,580,0,580,,19,2,4
2005,Iowa                     ,Total                                        ,"9,655.00",0,"9,655.00",,19,2,4
2005,Kansas                   ,Special ed teachers for 3-5                  ,437,19,456,,20,2,4
2005,Kansas                   ,Special ed teachers for 6-21                 ,"3,570.00",240,"3,810.00",,20,2,4
2005,Kansas                   ,Vocational education teachers                ,59,0,59,,20,2,4
2005,Kansas                   ,Physical education teachers                  ,50,0,50,,20,2,4
2005,Kansas                   ,Work-study coordinators                      ,14,0,14,,20,2,4
2005,Kansas                   ,Psychologists                                ,484,0,484,,20,2,4
2005,Kansas                   ,School social workers                        ,243,0,243,,20,2,4
2005,Kansas                   ,Occupational therapists                      ,198,0,198,,20,2,4
2005,Kansas                   ,Audiologists                                 ,23,0,23,,20,2,4
2005,Kansas                   ,Teacher aides                                ,"9,972.00",0,"9,972.00",,20,2,4
2005,Kansas                   ,Recreation specialists                       ,1,0,1,,20,2,4
2005,Kansas                   ,Diagnostic & evaluation staff                ,2,0,2,,20,2,4
2005,Kansas                   ,Physical therapists                          ,85,0,85,,20,2,4
2005,Kansas                   ,Counselors                                   ,41,0,41,,20,2,4
2005,Kansas                   ,Speech pathologists                          ,755,0,755,,20,2,4
2005,Kansas                   ,Supervisors/administrators                   ,170,0,170,,20,2,4
2005,Kansas                   ,Supervisors/administrators (SEA)             ,18,0,18,,20,2,4
2005,Kansas                   ,Interpreters                                 ,45,0,45,,20,2,4
2005,Kansas                   ,Rehabilitation counselors                    ,1,0,1,,20,2,4
2005,Kansas                   ,Other professional staff                     ,          N/V,          N/V,          N/V,,20,2,4
2005,Kansas                   ,Non-professional staff                       ,198,0,198,,20,2,4
2005,Kansas                   ,Total                                        ,"12,358.00",0,"12,358.00",,20,2,4
2005,Kentucky                 ,Special ed teachers for 3-5                  ,299,27,326,,21,3,6
2005,Kentucky                 ,Special ed teachers for 6-21                 ,"5,801.00",587,"6,388.00",,21,3,6
2005,Kentucky                 ,Vocational education teachers                ,41,0,41,,21,3,6
2005,Kentucky                 ,Physical education teachers                  ,16,0,16,,21,3,6
2005,Kentucky                 ,Work-study coordinators                      ,48,4,52,,21,3,6
2005,Kentucky                 ,Psychologists                                ,332,14,346,,21,3,6
2005,Kentucky                 ,School social workers                        ,22,1,23,,21,3,6
2005,Kentucky                 ,Occupational therapists                      ,199,5,203,,21,3,6
2005,Kentucky                 ,Audiologists                                 ,15,0,15,,21,3,6
2005,Kentucky                 ,Teacher aides                                ,"5,132.00",77,"5,209.00",,21,3,6
2005,Kentucky                 ,Recreation specialists                       ,5,0,5,,21,3,6
2005,Kentucky                 ,Diagnostic & evaluation staff                ,103,1,103,,21,3,6
2005,Kentucky                 ,Physical therapists                          ,103,6,109,,21,3,6
2005,Kentucky                 ,Counselors                                   ,237,1,238,,21,3,6
2005,Kentucky                 ,Speech pathologists                          ,984,70,"1,053.00",,21,3,6
2005,Kentucky                 ,Supervisors/administrators                   ,212,0,212,,21,3,6
2005,Kentucky                 ,Supervisors/administrators (SEA)             ,0,0,0,,21,3,6
2005,Kentucky                 ,Interpreters                                 ,90,12,102,,21,3,6
2005,Kentucky                 ,Rehabilitation counselors                    ,11,0,11,,21,3,6
2005,Kentucky                 ,Other professional staff                     ,264,2,266,,21,3,6
2005,Kentucky                 ,Non-professional staff                       ,547,3,551,,21,3,6
2005,Kentucky                 ,Total                                        ,"8,358.00",196,"8,554.00",,21,3,6
2005,Louisiana                ,Special ed teachers for 3-5                  ,776,169,945,,22,3,7
2005,Louisiana                ,Special ed teachers for 6-21                 ,"5,100.00","1,065.00","6,166.00",,22,3,7
2005,Louisiana                ,Vocational education teachers                ,43,2,45,,22,3,7
2005,Louisiana                ,Physical education teachers                  ,341,18,359,,22,3,7
2005,Louisiana                ,Work-study coordinators                      ,13,1,14,,22,3,7
2005,Louisiana                ,Psychologists                                ,307,1,308,,22,3,7
2005,Louisiana                ,School social workers                        ,266,4,270,,22,3,7
2005,Louisiana                ,Occupational therapists                      ,144,1,145,,22,3,7
2005,Louisiana                ,Audiologists                                 ,22,0,22,,22,3,7
2005,Louisiana                ,Teacher aides                                ,"5,649.00",267,"5,916.00",,22,3,7
2005,Louisiana                ,Recreation specialists                       ,5,0,5,,22,3,7
2005,Louisiana                ,Diagnostic & evaluation staff                ,344,0,344,,22,3,7
2005,Louisiana                ,Physical therapists                          ,70,0,70,,22,3,7
2005,Louisiana                ,Counselors                                   ,57,0,57,,22,3,7
2005,Louisiana                ,Speech pathologists                          ,"1,007.00",7,"1,014.00",,22,3,7
2005,Louisiana                ,Supervisors/administrators                   ,227,3,230,,22,3,7
2005,Louisiana                ,Supervisors/administrators (SEA)             ,57,0,57,,22,3,7
2005,Louisiana                ,Interpreters                                 ,120,17,137,,22,3,7
2005,Louisiana                ,Rehabilitation counselors                    ,0,0,0,,22,3,7
2005,Louisiana                ,Other professional staff                     ,547,30,577,,22,3,7
2005,Louisiana                ,Non-professional staff                       ,"1,117.00",31,"1,148.00",,22,3,7
2005,Louisiana                ,Total                                        ,"10,333.00",382,"10,715.00",,22,3,7
2005,Maine                    ,Special ed teachers for 3-5                  ,272,          N/V,272,,23,1,1
2005,Maine                    ,Special ed teachers for 6-21                 ,"2,503.00",173,"2,677.00",,23,1,1
2005,Maine                    ,Vocational education teachers                ,6,0,6,,23,1,1
2005,Maine                    ,Physical education teachers                  ,13,1,13,,23,1,1
2005,Maine                    ,Work-study coordinators                      ,3,0,3,,23,1,1
2005,Maine                    ,Psychologists                                ,143,0,143,,23,1,1
2005,Maine                    ,School social workers                        ,177,0,177,,23,1,1
2005,Maine                    ,Occupational therapists                      ,204,1,205,,23,1,1
2005,Maine                    ,Audiologists                                 ,19,1,20,,23,1,1
2005,Maine                    ,Teacher aides                                ,"3,871.00",21,"3,892.00",,23,1,1
2005,Maine                    ,Recreation specialists                       ,9,0,9,,23,1,1
2005,Maine                    ,Diagnostic & evaluation staff                ,74,1,75,,23,1,1
2005,Maine                    ,Physical therapists                          ,76,0,76,,23,1,1
2005,Maine                    ,Counselors                                   ,34,0,34,,23,1,1
2005,Maine                    ,Speech pathologists                          ,0,0,0,,23,1,1
2005,Maine                    ,Supervisors/administrators                   ,147,7,154,,23,1,1
2005,Maine                    ,Supervisors/administrators (SEA)             ,16,0,16,,23,1,1
2005,Maine                    ,Interpreters                                 ,37,0,37,,23,1,1
2005,Maine                    ,Rehabilitation counselors                    ,3,0,3,,23,1,1
2005,Maine                    ,Other professional staff                     ,178,3,181,,23,1,1
2005,Maine                    ,Non-professional staff                       ,144,0,145,,23,1,1
2005,Maine                    ,Total                                        ,"5,155.00",35,"5,190.00",,23,1,1
2005,Maryland                 ,Special ed teachers for 3-5                  ,444,42,486,,24,3,5
2005,Maryland                 ,Special ed teachers for 6-21                 ,"6,063.00","1,388.00","7,450.00",,24,3,5
2005,Maryland                 ,Vocational education teachers                ,99,18,117,,24,3,5
2005,Maryland                 ,Physical education teachers                  ,567,26,593,,24,3,5
2005,Maryland                 ,Work-study coordinators                      ,31,9,40,,24,3,5
2005,Maryland                 ,Psychologists                                ,402,28,430,,24,3,5
2005,Maryland                 ,School social workers                        ,438,2,439,,24,3,5
2005,Maryland                 ,Occupational therapists                      ,289,11,300,,24,3,5
2005,Maryland                 ,Audiologists                                 ,32,0,32,,24,3,5
2005,Maryland                 ,Teacher aides                                ,"6,691.00",0,"6,691.00",,24,3,5
2005,Maryland                 ,Recreation specialists                       ,5,0,5,,24,3,5
2005,Maryland                 ,Diagnostic & evaluation staff                ,402,32,434,,24,3,5
2005,Maryland                 ,Physical therapists                          ,147,4,151,,24,3,5
2005,Maryland                 ,Counselors                                   ,310,11,321,,24,3,5
2005,Maryland                 ,Speech pathologists                          ,"1,165.00",95,"1,260.00",,24,3,5
2005,Maryland                 ,Supervisors/administrators                   ,359,22,381,,24,3,5
2005,Maryland                 ,Supervisors/administrators (SEA)             ,0,0,0,,24,3,5
2005,Maryland                 ,Interpreters                                 ,105,35,140,,24,3,5
2005,Maryland                 ,Rehabilitation counselors                    ,1,0,1,,24,3,5
2005,Maryland                 ,Other professional staff                     ,719,68,787,,24,3,5
2005,Maryland                 ,Non-professional staff                       ,745,31,776,,24,3,5
2005,Maryland                 ,Total                                        ,"12,507.00",391,"12,898.00",,24,3,5
2005,Massachusetts            ,Special ed teachers for 3-5                  ,"10,351.00",965,"11,317.00",,25,1,1
2005,Massachusetts            ,Special ed teachers for 6-21                 ,"9,521.00",958,"10,478.00",,25,1,1
2005,Massachusetts            ,Vocational education teachers                ,96,6,102,,25,1,1
2005,Massachusetts            ,Physical education teachers                  ,145,10,155,,25,1,1
2005,Massachusetts            ,Work-study coordinators                      ,0,11,11,,25,1,1
2005,Massachusetts            ,Psychologists                                ,244,4,248,,25,1,1
2005,Massachusetts            ,School social workers                        ,70,3,72,,25,1,1
2005,Massachusetts            ,Occupational therapists                      ,0,502,502,,25,1,1
2005,Massachusetts            ,Audiologists                                 ,0,11,11,,25,1,1
2005,Massachusetts            ,Teacher aides                                ,0,"14,440.00","14,440.00",,25,1,1
2005,Massachusetts            ,Recreation specialists                       ,0,11,11,,25,1,1
2005,Massachusetts            ,Diagnostic & evaluation staff                ,0,412,412,,25,1,1
2005,Massachusetts            ,Physical therapists                          ,0,194,194,,25,1,1
2005,Massachusetts            ,Counselors                                   ,207,2,209,,25,1,1
2005,Massachusetts            ,Speech pathologists                          ,0,545,545,,25,1,1
2005,Massachusetts            ,Supervisors/administrators                   ,426,46,472,,25,1,1
2005,Massachusetts            ,Supervisors/administrators (SEA)             ,          N/V,          N/V,          N/V,,25,1,1
2005,Massachusetts            ,Interpreters                                 ,0,28,28,,25,1,1
2005,Massachusetts            ,Rehabilitation counselors                    ,0,6,6,,25,1,1
2005,Massachusetts            ,Other professional staff                     ,948,"1,165.00","2,113.00",,25,1,1
2005,Massachusetts            ,Non-professional staff                       ,0,827,827,,25,1,1
2005,Massachusetts            ,Total                                        ,"2,135.00","18,223.00","20,359.00",,25,1,1
2005,Michigan                 ,Special ed teachers for 3-5                  ,693,120,813,,26,2,3
2005,Michigan                 ,Special ed teachers for 6-21                 ,"11,968.00","1,827.00","13,795.00",,26,2,3
2005,Michigan                 ,Vocational education teachers                ,0,0,0,,26,2,3
2005,Michigan                 ,Physical education teachers                  ,74,8,82,,26,2,3
2005,Michigan                 ,Work-study coordinators                      ,36,11,46,,26,2,3
2005,Michigan                 ,Psychologists                                ,987,52,"1,039.00",,26,2,3
2005,Michigan                 ,School social workers                        ,"1,563.00",180,"1,742.00",,26,2,3
2005,Michigan                 ,Occupational therapists                      ,557,37,594,,26,2,3
2005,Michigan                 ,Audiologists                                 ,36,4,40,,26,2,3
2005,Michigan                 ,Teacher aides                                ,"3,698.00",0,"3,698.00",,26,2,3
2005,Michigan                 ,Recreation specialists                       ,0,0,0,,26,2,3
2005,Michigan                 ,Diagnostic & evaluation staff                ,0,0,0,,26,2,3
2005,Michigan                 ,Physical therapists                          ,297,28,325,,26,2,3
2005,Michigan                 ,Counselors                                   ,0,0,0,,26,2,3
2005,Michigan                 ,Speech pathologists                          ,"1,885.00",173,"2,058.00",,26,2,3
2005,Michigan                 ,Supervisors/administrators                   ,363,103,467,,26,2,3
2005,Michigan                 ,Supervisors/administrators (SEA)             ,28,0,28,,26,2,3
2005,Michigan                 ,Interpreters                                 ,28,42,70,,26,2,3
2005,Michigan                 ,Rehabilitation counselors                    ,0,0,0,,26,2,3
2005,Michigan                 ,Other professional staff                     ,391,12,403,,26,2,3
2005,Michigan                 ,Non-professional staff                       ,66,0,66,,26,2,3
2005,Michigan                 ,Total                                        ,"10,010.00",650,"10,660.00",,26,2,3
2005,Minnesota                ,Special ed teachers for 3-5                  ,279,12,291,,27,2,4
2005,Minnesota                ,Special ed teachers for 6-21                 ,"8,048.00",347,"8,395.00",,27,2,4
2005,Minnesota                ,Vocational education teachers                ,25,0,25,,27,2,4
2005,Minnesota                ,Physical education teachers                  ,357,9,365,,27,2,4
2005,Minnesota                ,Work-study coordinators                      ,159,0,159,,27,2,4
2005,Minnesota                ,Psychologists                                ,620,1,621,,27,2,4
2005,Minnesota                ,School social workers                        ,0,791,791,,27,2,4
2005,Minnesota                ,Occupational therapists                      ,0,517,517,,27,2,4
2005,Minnesota                ,Audiologists                                 ,0,55,55,,27,2,4
2005,Minnesota                ,Teacher aides                                ,0,"11,987.00","11,987.00",,27,2,4
2005,Minnesota                ,Recreation specialists                       ,0,0,0,,27,2,4
2005,Minnesota                ,Diagnostic & evaluation staff                ,0,0,0,,27,2,4
2005,Minnesota                ,Physical therapists                          ,0,159,159,,27,2,4
2005,Minnesota                ,Counselors                                   ,42,0,42,,27,2,4
2005,Minnesota                ,Speech pathologists                          ,"1,647.00",1,"1,647.00",,27,2,4
2005,Minnesota                ,Supervisors/administrators                   ,188,0,188,,27,2,4
2005,Minnesota                ,Supervisors/administrators (SEA)             ,86,0,86,,27,2,4
2005,Minnesota                ,Interpreters                                 ,0,206,206,,27,2,4
2005,Minnesota                ,Rehabilitation counselors                    ,0,0,0,,27,2,4
2005,Minnesota                ,Other professional staff                     ,0,627,627,,27,2,4
2005,Minnesota                ,Non-professional staff                       ,0,535,535,,27,2,4
2005,Minnesota                ,Total                                        ,"3,122.00","14,888.00","18,009.00",,27,2,4
2005,Mississippi              ,Special ed teachers for 3-5                  ,595,38,633,,28,3,6
2005,Mississippi              ,Special ed teachers for 6-21                 ,"3,735.00",35,"3,770.00",,28,3,6
2005,Mississippi              ,Vocational education teachers                ,2,10,12,,28,3,6
2005,Mississippi              ,Physical education teachers                  ,721,55,776,,28,3,6
2005,Mississippi              ,Work-study coordinators                      ,18,2,20,,28,3,6
2005,Mississippi              ,Psychologists                                ,24,0,24,,28,3,6
2005,Mississippi              ,School social workers                        ,4,0,4,,28,3,6
2005,Mississippi              ,Occupational therapists                      ,24,0,24,,28,3,6
2005,Mississippi              ,Audiologists                                 ,2,0,2,,28,3,6
2005,Mississippi              ,Teacher aides                                ,"1,357.00",0,"1,357.00",,28,3,6
2005,Mississippi              ,Recreation specialists                       ,38,1,40,,28,3,6
2005,Mississippi              ,Diagnostic & evaluation staff                ,138,0,138,,28,3,6
2005,Mississippi              ,Physical therapists                          ,0,17,17,,28,3,6
2005,Mississippi              ,Counselors                                   ,13,0,13,,28,3,6
2005,Mississippi              ,Speech pathologists                          ,402,48,449,,28,3,6
2005,Mississippi              ,Supervisors/administrators                   ,153,1,154,,28,3,6
2005,Mississippi              ,Supervisors/administrators (SEA)             ,0,0,0,,28,3,6
2005,Mississippi              ,Interpreters                                 ,49,0,49,,28,3,6
2005,Mississippi              ,Rehabilitation counselors                    ,0,0,0,,28,3,6
2005,Mississippi              ,Other professional staff                     ,30,0,30,,28,3,6
2005,Mississippi              ,Non-professional staff                       ,531,0,531,,28,3,6
2005,Mississippi              ,Total                                        ,"3,506.00",134,"3,640.00",,28,3,6
2005,Missouri                 ,Special ed teachers for 3-5                  ,814,13,827,,29,2,4
2005,Missouri                 ,Special ed teachers for 6-21                 ,"8,924.00",186,"9,110.00",,29,2,4
2005,Missouri                 ,Vocational education teachers                ,57,0,57,,29,2,4
2005,Missouri                 ,Physical education teachers                  ,30,0,30,,29,2,4
2005,Missouri                 ,Work-study coordinators                      ,45,0,45,,29,2,4
2005,Missouri                 ,Psychologists                                ,139,0,139,,29,2,4
2005,Missouri                 ,School social workers                        ,114,0,114,,29,2,4
2005,Missouri                 ,Occupational therapists                      ,263,0,263,,29,2,4
2005,Missouri                 ,Audiologists                                 ,17,0,17,,29,2,4
2005,Missouri                 ,Teacher aides                                ,"8,287.00",0,"8,287.00",,29,2,4
2005,Missouri                 ,Recreation specialists                       ,          N/V,          N/V,          N/V,,29,2,4
2005,Missouri                 ,Diagnostic & evaluation staff                ,141,0,141,,29,2,4
2005,Missouri                 ,Physical therapists                          ,78,0,78,,29,2,4
2005,Missouri                 ,Counselors                                   ,3,0,3,,29,2,4
2005,Missouri                 ,Speech pathologists                          ,78,0,78,,29,2,4
2005,Missouri                 ,Supervisors/administrators                   ,383,0,383,,29,2,4
2005,Missouri                 ,Supervisors/administrators (SEA)             ,26,0,26,,29,2,4
2005,Missouri                 ,Interpreters                                 ,172,0,172,,29,2,4
2005,Missouri                 ,Rehabilitation counselors                    ,          N/V,          N/V,          N/V,,29,2,4
2005,Missouri                 ,Other professional staff                     ,211,0,211,,29,2,4
2005,Missouri                 ,Non-professional staff                       ,          N/V,          N/V,          N/V,,29,2,4
2005,Missouri                 ,Total                                        ,"10,043.00",0,"10,043.00",,29,2,4
2005,Montana                  ,Special ed teachers for 3-5                  ,90,3,93,,30,4,8
2005,Montana                  ,Special ed teachers for 6-21                 ,809,24,834,,30,4,8
2005,Montana                  ,Vocational education teachers                ,5,0,5,,30,4,8
2005,Montana                  ,Physical education teachers                  ,7,0,7,,30,4,8
2005,Montana                  ,Work-study coordinators                      ,0,0,0,,30,4,8
2005,Montana                  ,Psychologists                                ,125,0,125,,30,4,8
2005,Montana                  ,School social workers                        ,33,0,33,,30,4,8
2005,Montana                  ,Occupational therapists                      ,28,0,28,,30,4,8
2005,Montana                  ,Audiologists                                 ,4,0,4,,30,4,8
2005,Montana                  ,Teacher aides                                ,"1,153.00",0,"1,153.00",,30,4,8
2005,Montana                  ,Recreation specialists                       ,2,0,2,,30,4,8
2005,Montana                  ,Diagnostic & evaluation staff                ,1,0,1,,30,4,8
2005,Montana                  ,Physical therapists                          ,20,0,20,,30,4,8
2005,Montana                  ,Counselors                                   ,1,0,1,,30,4,8
2005,Montana                  ,Speech pathologists                          ,168,0,168,,30,4,8
2005,Montana                  ,Supervisors/administrators                   ,39,0,39,,30,4,8
2005,Montana                  ,Supervisors/administrators (SEA)             ,21,0,21,,30,4,8
2005,Montana                  ,Interpreters                                 ,32,0,32,,30,4,8
2005,Montana                  ,Rehabilitation counselors                    ,0,0,0,,30,4,8
2005,Montana                  ,Other professional staff                     ,60,0,60,,30,4,8
2005,Montana                  ,Non-professional staff                       ,208,0,208,,30,4,8
2005,Montana                  ,Total                                        ,"1,906.00",0,"1,906.00",,30,4,8
2005,Nebraska                 ,Special ed teachers for 3-5                  ,262,5,267,,31,2,4
2005,Nebraska                 ,Special ed teachers for 6-21                 ,"2,265.00",35,"2,301.00",,31,2,4
2005,Nebraska                 ,Vocational education teachers                ,          N/V,          N/V,          N/V,,31,2,4
2005,Nebraska                 ,Physical education teachers                  ,          N/V,          N/V,          N/V,,31,2,4
2005,Nebraska                 ,Work-study coordinators                      ,3,1,4,,31,2,4
2005,Nebraska                 ,Psychologists                                ,125,1,126,,31,2,4
2005,Nebraska                 ,School social workers                        ,0,0,0,,31,2,4
2005,Nebraska                 ,Occupational therapists                      ,31,8,39,,31,2,4
2005,Nebraska                 ,Audiologists                                 ,7,0,7,,31,2,4
2005,Nebraska                 ,Teacher aides                                ,"2,728.00",0,"2,728.00",,31,2,4
2005,Nebraska                 ,Recreation specialists                       ,          N/V,          N/V,          N/V,,31,2,4
2005,Nebraska                 ,Diagnostic & evaluation staff                ,84,13,97,,31,2,4
2005,Nebraska                 ,Physical therapists                          ,17,0,17,,31,2,4
2005,Nebraska                 ,Counselors                                   ,5,1,6,,31,2,4
2005,Nebraska                 ,Speech pathologists                          ,525,10,535,,31,2,4
2005,Nebraska                 ,Supervisors/administrators                   ,14,14,28,,31,2,4
2005,Nebraska                 ,Supervisors/administrators (SEA)             ,17,0,17,,31,2,4
2005,Nebraska                 ,Interpreters                                 ,0,72,72,,31,2,4
2005,Nebraska                 ,Rehabilitation counselors                    ,          N/V,          N/V,          N/V,,31,2,4
2005,Nebraska                 ,Other professional staff                     ,1,0,1,,31,2,4
2005,Nebraska                 ,Non-professional staff                       ,          N/V,          N/V,          N/V,,31,2,4
2005,Nebraska                 ,Total                                        ,"3,557.00",119,"3,676.00",,31,2,4
2005,Nevada                   ,Special ed teachers for 3-5                  ,222,126,348,,32,4,8
2005,Nevada                   ,Special ed teachers for 6-21                 ,"1,972.00",495,"2,467.00",,32,4,8
2005,Nevada                   ,Vocational education teachers                ,14,1,15,,32,4,8
2005,Nevada                   ,Physical education teachers                  ,68,9,77,,32,4,8
2005,Nevada                   ,Work-study coordinators                      ,1,0,1,,32,4,8
2005,Nevada                   ,Psychologists                                ,212,0,212,,32,4,8
2005,Nevada                   ,School social workers                        ,11,0,11,,32,4,8
2005,Nevada                   ,Occupational therapists                      ,91,0,91,,32,4,8
2005,Nevada                   ,Audiologists                                 ,5,0,5,,32,4,8
2005,Nevada                   ,Teacher aides                                ,"1,769.00",187,"1,957.00",,32,4,8
2005,Nevada                   ,Recreation specialists                       ,0,0,0,,32,4,8
2005,Nevada                   ,Diagnostic & evaluation staff                ,4,3,7,,32,4,8
2005,Nevada                   ,Physical therapists                          ,39,0,39,,32,4,8
2005,Nevada                   ,Counselors                                   ,244,2,246,,32,4,8
2005,Nevada                   ,Speech pathologists                          ,387,0,387,,32,4,8
2005,Nevada                   ,Supervisors/administrators                   ,134,1,135,,32,4,8
2005,Nevada                   ,Supervisors/administrators (SEA)             ,0,0,0,,32,4,8
2005,Nevada                   ,Interpreters                                 ,40,20,60,,32,4,8
2005,Nevada                   ,Rehabilitation counselors                    ,0,0,0,,32,4,8
2005,Nevada                   ,Other professional staff                     ,391,10,401,,32,4,8
2005,Nevada                   ,Non-professional staff                       ,52,10,62,,32,4,8
2005,Nevada                   ,Total                                        ,"3,462.00",243,"3,705.00",,32,4,8
2005,New Hampshire            ,Special ed teachers for 3-5                  ,114,32,146,,33,1,1
2005,New Hampshire            ,Special ed teachers for 6-21                 ,"1,726.00",405,"2,131.00",,33,1,1
2005,New Hampshire            ,Vocational education teachers                ,10,6,16,,33,1,1
2005,New Hampshire            ,Physical education teachers                  ,49,5,54,,33,1,1
2005,New Hampshire            ,Work-study coordinators                      ,29,7,36,,33,1,1
2005,New Hampshire            ,Psychologists                                ,96,1,97,,33,1,1
2005,New Hampshire            ,School social workers                        ,47,11,58,,33,1,1
2005,New Hampshire            ,Occupational therapists                      ,208,0,208,,33,1,1
2005,New Hampshire            ,Audiologists                                 ,2,0,2,,33,1,1
2005,New Hampshire            ,Teacher aides                                ,"4,857.00",672,"5,529.00",,33,1,1
2005,New Hampshire            ,Recreation specialists                       ,10,0,10,,33,1,1
2005,New Hampshire            ,Diagnostic & evaluation staff                ,192,3,195,,33,1,1
2005,New Hampshire            ,Physical therapists                          ,62,0,62,,33,1,1
2005,New Hampshire            ,Counselors                                   ,188,9,197,,33,1,1
2005,New Hampshire            ,Speech pathologists                          ,365,4,369,,33,1,1
2005,New Hampshire            ,Supervisors/administrators                   ,306,31,336,,33,1,1
2005,New Hampshire            ,Supervisors/administrators (SEA)             ,13,3,16,,33,1,1
2005,New Hampshire            ,Interpreters                                 ,29,15,44,,33,1,1
2005,New Hampshire            ,Rehabilitation counselors                    ,13,0,13,,33,1,1
2005,New Hampshire            ,Other professional staff                     ,528,65,593,,33,1,1
2005,New Hampshire            ,Non-professional staff                       ,626,3,629,,33,1,1
2005,New Hampshire            ,Total                                        ,"7,630.00",833,"8,463.00",,33,1,1
2005,New Jersey               ,Special ed teachers for 3-5                  ,"1,071.00",19,"1,090.00",,34,1,2
2005,New Jersey               ,Special ed teachers for 6-21                 ,"19,310.00","1,137.00","20,447.00",,34,1,2
2005,New Jersey               ,Vocational education teachers                ,489,17,506,,34,1,2
