Extraction Date:,6/5/2014,,,,,,,
Updated:,,,,,,,,
Revised:,,,,,,,,
,,,,,,,,
Year,State,Personnel Type,"Teachers Highly Qualified/Paraprofessionals Qualified","Teachers Not Highly Qualified/Paraprofessionals Not Qualified",Teachers/Paraprofessionals Total,Fully Certified,Not Fully Certified,Fully Certified/Not Fully Certified Total
2012,Kentucky,Orientation and Mobility Specialists,-,-,-,35.55,0.2,35.75
2012,Kentucky,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,22.73,1,23.73
2012,Kentucky,Physical Therapists,-,-,-,135.37,6.6,141.97
2012,Kentucky,Psychologists,-,-,-,386.01,2,388.01
2012,Kentucky,Social Workers,-,-,-,17.8,0,17.8
2012,Kentucky,Special Education Paraprofessionals for Ages 3-5,573.86,0,573.86,-,-,-
2012,Kentucky,Special Education Paraprofessionals for Ages 6-21,5038.09,1,5039.09,-,-,-
2012,Kentucky,Special Education Teachers for Ages 3-5,433.16,7.5,440.66,-,-,-
2012,Kentucky,Special Education Teachers for Ages 6-21,6288.28,118.01,6406.29,-,-,-
2012,Kentucky,Speech-Language Pathologists,-,-,-,1079.12,31,1110.12
2012,Kentucky,Total Special Education Paraprofessionals,5611.95,1,5612.95,-,-,-
2012,Kentucky,Total Special Education Teachers,6721.44,125.51,6846.95,-,-,-
2012,Louisiana,Audiologists,-,-,-,21.07,1,22.07
2012,Louisiana,Counselors and Rehabilitation Counselors,-,-,-,55.72,4.34,60.06
2012,Louisiana,Interpreters,-,-,-,51,28.5,79.5
2012,Louisiana,Medical/Nursing Service Staff,-,-,-,88,6,94
2012,Louisiana,Occupational Therapists,-,-,-,140.44,33.14,173.58
2012,Louisiana,Orientation and Mobility Specialists,-,-,-,4,2,6
2012,Louisiana,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,310.53,10.43,320.96
2012,Louisiana,Physical Therapists,-,-,-,66.06,17,83.06
2012,Louisiana,Psychologists,-,-,-,242.2,2,244.2
2012,Louisiana,Social Workers,-,-,-,155.69,9,164.69
2012,Louisiana,Special Education Paraprofessionals for Ages 3-5,469.64,25,494.64,-,-,-
2012,Louisiana,Special Education Paraprofessionals for Ages 6-21,5709.63,491.14,6200.77,-,-,-
2012,Louisiana,Special Education Teachers for Ages 3-5,582.68,20.6,603.28,-,-,-
2012,Louisiana,Special Education Teachers for Ages 6-21,4986.22,313.51,5299.73,-,-,-
2012,Louisiana,Speech-Language Pathologists,-,-,-,1167.26,23.5,1190.76
2012,Louisiana,Total Special Education Paraprofessionals,6179.27,516.14,6695.41,-,-,-
2012,Louisiana,Total Special Education Teachers,5568.9,334.11,5903.01,-,-,-
2012,Maine,Audiologists,-,-,-,5.82,0,5.82
2012,Maine,Counselors and Rehabilitation Counselors,-,-,-,15.48,8,23.48
2012,Maine,Interpreters,-,-,-,31.85,0,31.85
2012,Maine,Medical/Nursing Service Staff,-,-,-,47.7,14,61.7
2012,Maine,Occupational Therapists,-,-,-,198.09,6,204.09
2012,Maine,Orientation and Mobility Specialists,-,-,-,0.38,0,0.38
2012,Maine,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,14.2,1,15.2
2012,Maine,Physical Therapists,-,-,-,68.96,2,70.96
2012,Maine,Psychologists,-,-,-,166.78,1,167.78
2012,Maine,Social Workers,-,-,-,200.22,10,210.22
2012,Maine,Special Education Paraprofessionals for Ages 3-5,48.84,0,48.84,-,-,-
2012,Maine,Special Education Paraprofessionals for Ages 6-21,4004.39,257.3,4261.69,-,-,-
2012,Maine,Special Education Teachers for Ages 3-5,51.78,0,51.78,-,-,-
2012,Maine,Special Education Teachers for Ages 6-21,1887.88,161.75,2049.63,-,-,-
2012,Maine,Speech-Language Pathologists,-,-,-,393.56,9,402.56
2012,Maine,Total Special Education Paraprofessionals,4053.23,257.3,4310.53,-,-,-
2012,Maine,Total Special Education Teachers,1939.66,161.75,2101.41,-,-,-
2012,Maryland,Audiologists,-,-,-,27.18,0,27.18
2012,Maryland,Counselors and Rehabilitation Counselors,-,-,-,199.4,0,199.4
2012,Maryland,Interpreters,-,-,-,211.11,0,211.11
2012,Maryland,Medical/Nursing Service Staff,-,-,-,198.98,1.8,200.78
2012,Maryland,Occupational Therapists,-,-,-,505.5,0,505.5
2012,Maryland,Orientation and Mobility Specialists,-,-,-,26.4,1,27.4
2012,Maryland,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,496.43,3.6,500.03
2012,Maryland,Physical Therapists,-,-,-,216.66,0.2,216.86
2012,Maryland,Psychologists,-,-,-,334.93,2,336.93
2012,Maryland,Social Workers,-,-,-,468.53,5,473.53
2012,Maryland,Special Education Paraprofessionals for Ages 3-5,551.3,0,551.3,-,-,-
2012,Maryland,Special Education Paraprofessionals for Ages 6-21,8135.5,0,8135.5,-,-,-
2012,Maryland,Special Education Teachers for Ages 3-5,717.7,41,758.7,-,-,-
2012,Maryland,Special Education Teachers for Ages 6-21,7391.83,1143.75,8535.58,-,-,-
2012,Maryland,Speech-Language Pathologists,-,-,-,1276.59,15.6,1292.19
2012,Maryland,Total Special Education Paraprofessionals,8686.8,0,8686.8,-,-,-
2012,Maryland,Total Special Education Teachers,8109.53,1184.75,9294.28,-,-,-
2012,Massachusetts,Audiologists,-,-,-,8.53,0,8.53
2012,Massachusetts,Counselors and Rehabilitation Counselors,-,-,-,399.34,16.3,415.64
2012,Massachusetts,Interpreters,-,-,-,56.62,0,56.62
2012,Massachusetts,Medical/Nursing Service Staff,-,-,-,84.79,40.75,125.54
2012,Massachusetts,Occupational Therapists,-,-,-,695.92,0,695.92
2012,Massachusetts,Orientation and Mobility Specialists,-,-,-,16.02,0,16.02
2012,Massachusetts,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,45.08,0.1,45.18
2012,Massachusetts,Physical Therapists,-,-,-,195.8,0,195.8
2012,Massachusetts,Psychologists,-,-,-,687.6,15.94,703.54
2012,Massachusetts,Social Workers,-,-,-,150.74,31.52,182.26
2012,Massachusetts,Special Education Paraprofessionals for Ages 3-5,2765.97,76.66,2842.63,-,-,-
2012,Massachusetts,Special Education Paraprofessionals for Ages 6-21,12752.14,267.5,13019.64,-,-,-
2012,Massachusetts,Special Education Teachers for Ages 3-5,1266.5,47.67,1314.17,-,-,-
2012,Massachusetts,Special Education Teachers for Ages 6-21,8206.29,380.96,8587.25,-,-,-
2012,Massachusetts,Speech-Language Pathologists,-,-,-,1586.9,0,1586.9
2012,Massachusetts,Total Special Education Paraprofessionals,15518.11,344.16,15862.27,-,-,-
2012,Massachusetts,Total Special Education Teachers,9472.79,428.63,9901.42,-,-,-
2012,Michigan,Audiologists,-,-,-,30.62,0,30.62
2012,Michigan,Counselors and Rehabilitation Counselors,-,-,-,3.56,0,3.56
2012,Michigan,Interpreters,-,-,-,139.09,0,139.09
2012,Michigan,Medical/Nursing Service Staff,-,-,-,137,0,137
2012,Michigan,Occupational Therapists,-,-,-,386.27,0,386.27
2012,Michigan,Orientation and Mobility Specialists,-,-,-,29.25,0,29.25
2012,Michigan,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,85.38,0,85.38
2012,Michigan,Physical Therapists,-,-,-,163.53,0,163.53
2012,Michigan,Psychologists,-,-,-,764.11,0,764.11
2012,Michigan,Social Workers,-,-,-,1133.03,0,1133.03
2012,Michigan,Special Education Paraprofessionals for Ages 3-5,723.28,0,723.28,-,-,-
2012,Michigan,Special Education Paraprofessionals for Ages 6-21,10511.91,0,10511.91,-,-,-
2012,Michigan,Special Education Teachers for Ages 3-5,729.64,1,730.64,-,-,-
2012,Michigan,Special Education Teachers for Ages 6-21,12273.3,25.22,12298.52,-,-,-
2012,Michigan,Speech-Language Pathologists,-,-,-,2092.05,0,2092.05
2012,Michigan,Total Special Education Paraprofessionals,11235.19,0,11235.19,-,-,-
2012,Michigan,Total Special Education Teachers,13002.94,26.22,13029.16,-,-,-
2012,Minnesota,Audiologists,-,-,-,36.14,0,36.14
2012,Minnesota,Counselors and Rehabilitation Counselors,-,-,-,46.7,0,46.7
2012,Minnesota,Interpreters,-,-,-,158.18,0,158.18
2012,Minnesota,Medical/Nursing Service Staff,-,-,-,307.7,0,307.7
2012,Minnesota,Occupational Therapists,-,-,-,551.34,0,551.34
2012,Minnesota,Orientation and Mobility Specialists,-,-,-,9.77,0,9.77
2012,Minnesota,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,363.15,0,363.15
2012,Minnesota,Physical Therapists,-,-,-,160.93,0,160.93
2012,Minnesota,Psychologists,-,-,-,672.38,0,672.38
2012,Minnesota,Social Workers,-,-,-,656.27,0,656.27
2012,Minnesota,Special Education Paraprofessionals for Ages 3-5,1421.94,0,1421.94,-,-,-
2012,Minnesota,Special Education Paraprofessionals for Ages 6-21,10186.83,0,10186.83,-,-,-
2012,Minnesota,Special Education Teachers for Ages 3-5,716.52,27.41,743.93,-,-,-
2012,Minnesota,Special Education Teachers for Ages 6-21,7454.57,335.24,7789.81,-,-,-
2012,Minnesota,Speech-Language Pathologists,-,-,-,1682.76,0,1682.76
2012,Minnesota,Total Special Education Paraprofessionals,11608.77,0,11608.77,-,-,-
2012,Minnesota,Total Special Education Teachers,8171.09,362.65,8533.74,-,-,-
2012,Mississippi,Audiologists,-,-,-,209.7,1,210.7
2012,Mississippi,Counselors and Rehabilitation Counselors,-,-,-,13.1,41.9,55
2012,Mississippi,Interpreters,-,-,-,0,40.5,40.5
2012,Mississippi,Medical/Nursing Service Staff,-,-,-,4.6,416.7,421.3
2012,Mississippi,Occupational Therapists,-,-,-,1.1,97.4,98.5
2012,Mississippi,Orientation and Mobility Specialists,-,-,-,2.8,3.1,5.9
2012,Mississippi,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,1363.9,4,1367.9
2012,Mississippi,Physical Therapists,-,-,-,0,92.3,92.3
2012,Mississippi,Psychologists,-,-,-,48.19,7.9,56.09
2012,Mississippi,Social Workers,-,-,-,2.8,113.2,116
2012,Mississippi,Special Education Paraprofessionals for Ages 3-5,0,0,0,-,-,-
2012,Mississippi,Special Education Paraprofessionals for Ages 6-21,1440,0,1440,-,-,-
2012,Mississippi,Special Education Teachers for Ages 3-5,159.1,1.8,160.9,-,-,-
2012,Mississippi,Special Education Teachers for Ages 6-21,4112.8,27.8,4140.6,-,-,-
2012,Mississippi,Speech-Language Pathologists,-,-,-,733.4,16,749.4
2012,Mississippi,Total Special Education Paraprofessionals,1440,0,1440,-,-,-
2012,Mississippi,Total Special Education Teachers,4271.9,29.6,4301.5,-,-,-
2012,Missouri,Audiologists,-,-,-,14.3,0,14.3
2012,Missouri,Counselors and Rehabilitation Counselors,-,-,-,0.53,0,0.53
2012,Missouri,Interpreters,-,-,-,158.96,1,159.96
2012,Missouri,Medical/Nursing Service Staff,-,-,-,113.98,0,113.98
2012,Missouri,Occupational Therapists,-,-,-,348.99,1,349.99
2012,Missouri,Orientation and Mobility Specialists,-,-,-,8.8,0,8.8
2012,Missouri,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,39.03,0.97,40
2012,Missouri,Physical Therapists,-,-,-,113.56,0,113.56
2012,Missouri,Psychologists,-,-,-,188.02,5,193.02
2012,Missouri,Social Workers,-,-,-,118.67,2.84,121.51
2012,Missouri,Special Education Paraprofessionals for Ages 3-5,1076.21,0,1076.21,-,-,-
2012,Missouri,Special Education Paraprofessionals for Ages 6-21,8084.17,39.95,8124.12,-,-,-
2012,Missouri,Special Education Teachers for Ages 3-5,1021.73,41.06,1062.79,-,-,-
2012,Missouri,Special Education Teachers for Ages 6-21,7543.59,283.74,7827.33,-,-,-
2012,Missouri,Speech-Language Pathologists,-,-,-,144.55,3.67,148.22
2012,Missouri,Total Special Education Paraprofessionals,9160.38,39.95,9200.33,-,-,-
2012,Missouri,Total Special Education Teachers,8565.32,324.8,8890.12,-,-,-
2012,Montana,Audiologists,-,-,-,3.21,0,3.21
2012,Montana,Counselors and Rehabilitation Counselors,-,-,-,21.25,2,23.25
2012,Montana,Interpreters,-,-,-,27.98,0,27.98
2012,Montana,Medical/Nursing Service Staff,-,-,-,26.44,0,26.44
2012,Montana,Occupational Therapists,-,-,-,32.84,0.05,32.89
2012,Montana,Orientation and Mobility Specialists,-,-,-,3.35,0,3.35
2012,Montana,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,10.48,0,10.48
2012,Montana,Physical Therapists,-,-,-,19.86,0,19.86
2012,Montana,Psychologists,-,-,-,89.22,0,89.22
2012,Montana,Social Workers,-,-,-,15.25,2,17.25
2012,Montana,Special Education Paraprofessionals for Ages 3-5,45.45,0,45.45,-,-,-
2012,Montana,Special Education Paraprofessionals for Ages 6-21,1197.37,0,1197.37,-,-,-
2012,Montana,Special Education Teachers for Ages 3-5,55.47,0,55.47,-,-,-
2012,Montana,Special Education Teachers for Ages 6-21,818.86,4.57,823.43,-,-,-
2012,Montana,Speech-Language Pathologists,-,-,-,182.35,0,182.35
2012,Montana,Total Special Education Paraprofessionals,1242.82,0,1242.82,-,-,-
2012,Montana,Total Special Education Teachers,874.33,4.57,878.9,-,-,-
2012,Nebraska,Audiologists,-,-,-,6.49,0,6.49
2012,Nebraska,Counselors and Rehabilitation Counselors,-,-,-,806.02,0.8,806.82
2012,Nebraska,Interpreters,-,-,-,47.25,0,47.25
2012,Nebraska,Medical/Nursing Service Staff,-,-,-,238.82,1.2,240.02
2012,Nebraska,Occupational Therapists,-,-,-,42.6,0,42.6
2012,Nebraska,Orientation and Mobility Specialists,-,-,-,0,0,0
2012,Nebraska,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,0,0,0
2012,Nebraska,Physical Therapists,-,-,-,15.97,0,15.97
2012,Nebraska,Psychologists,-,-,-,250.78,0,250.78
2012,Nebraska,Social Workers,-,-,-,74.35,1.75,76.1
2012,Nebraska,Special Education Paraprofessionals for Ages 3-5,307.68,0,307.68,-,-,-
2012,Nebraska,Special Education Paraprofessionals for Ages 6-21,3861.08,0,3861.08,-,-,-
2012,Nebraska,Special Education Teachers for Ages 3-5,214.81,13.28,228.09,-,-,-
2012,Nebraska,Special Education Teachers for Ages 6-21,2377.29,149.03,2526.32,-,-,-
2012,Nebraska,Speech-Language Pathologists,-,-,-,591.83,2,593.83
2012,Nebraska,Total Special Education Paraprofessionals,4168.76,0,4168.76,-,-,-
2012,Nebraska,Total Special Education Teachers,2592.1,162.31,2754.41,-,-,-
2012,Nevada,Audiologists,-,-,-,6.25,0,6.25
2012,Nevada,Counselors and Rehabilitation Counselors,-,-,-,51.08,0,51.08
2012,Nevada,Interpreters,-,-,-,53.55,2,55.55
2012,Nevada,Medical/Nursing Service Staff,-,-,-,228.87,3,231.87
2012,Nevada,Occupational Therapists,-,-,-,109.49,0,109.49
2012,Nevada,Orientation and Mobility Specialists,-,-,-,6.58,0,6.58
2012,Nevada,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,80.5,0,80.5
2012,Nevada,Physical Therapists,-,-,-,48.26,0,48.26
2012,Nevada,Psychologists,-,-,-,258.15,0,258.15
2012,Nevada,Social Workers,-,-,-,19.5,0,19.5
2012,Nevada,Special Education Paraprofessionals for Ages 3-5,368.2,4.5,372.7,-,-,-
2012,Nevada,Special Education Paraprofessionals for Ages 6-21,1686.64,16.5,1703.14,-,-,-
2012,Nevada,Special Education Teachers for Ages 3-5,349.93,105.5,455.43,-,-,-
2012,Nevada,Special Education Teachers for Ages 6-21,2381.6,320,2701.6,-,-,-
2012,Nevada,Speech-Language Pathologists,-,-,-,497.11,0.5,497.61
2012,Nevada,Total Special Education Paraprofessionals,2054.84,21,2075.84,-,-,-
2012,Nevada,Total Special Education Teachers,2731.53,425.5,3157.03,-,-,-
2012,New Hampshire,Audiologists,-,-,-,4.99,1,5.99
2012,New Hampshire,Counselors and Rehabilitation Counselors,-,-,-,370.92,1,371.92
2012,New Hampshire,Interpreters,-,-,-,19.24,1,20.24
2012,New Hampshire,Medical/Nursing Service Staff,-,-,-,288.52,13,301.52
2012,New Hampshire,Occupational Therapists,-,-,-,239.71,17.64,257.35
2012,New Hampshire,Orientation and Mobility Specialists,-,-,-,9.82,1,10.82
2012,New Hampshire,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,217.42,2.25,219.67
2012,New Hampshire,Physical Therapists,-,-,-,67.41,12.82,80.23
2012,New Hampshire,Psychologists,-,-,-,219.36,3.75,223.11
2012,New Hampshire,Social Workers,-,-,-,41.09,1,42.09
2012,New Hampshire,Special Education Paraprofessionals for Ages 3-5,444.61,-,444.61,-,-,-
2012,New Hampshire,Special Education Paraprofessionals for Ages 6-21,5496.57,-,5496.57,-,-,-
2012,New Hampshire,Special Education Teachers for Ages 3-5,307.5,0,307.5,-,-,-
2012,New Hampshire,Special Education Teachers for Ages 6-21,2534.8,0,2534.8,-,-,-
2012,New Hampshire,Speech-Language Pathologists,-,-,-,457.05,46.06,503.11
2012,New Hampshire,Total Special Education Paraprofessionals,5941.18,-,5941.18,-,-,-
2012,New Hampshire,Total Special Education Teachers,2842.3,0,2842.3,-,-,-
2012,New Jersey,Audiologists,-,-,-,10.2,0,10.2
2012,New Jersey,Counselors and Rehabilitation Counselors,-,-,-,761.4,5.2,766.6
2012,New Jersey,Interpreters,-,-,-,71.6,6,77.6
2012,New Jersey,Medical/Nursing Service Staff,-,-,-,1036.4,9.8,1046.2
2012,New Jersey,Occupational Therapists,-,-,-,662.5,14.2,676.7
2012,New Jersey,Orientation and Mobility Specialists,-,-,-,12.1,0,12.1
2012,New Jersey,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,748.1,16.3,764.4
2012,New Jersey,Physical Therapists,-,-,-,279.3,2,281.3
2012,New Jersey,Psychologists,-,-,-,1356,12,1368
2012,New Jersey,Social Workers,-,-,-,1378.9,6.2,1385.1
2012,New Jersey,Special Education Paraprofessionals for Ages 3-5,2443.46,0,2443.46,-,-,-
2012,New Jersey,Special Education Paraprofessionals for Ages 6-21,12728.97,0,12728.97,-,-,-
2012,New Jersey,Special Education Teachers for Ages 3-5,1216,22.4,1238.4,-,-,-
2012,New Jersey,Special Education Teachers for Ages 6-21,14503.49,318.75,14822.24,-,-,-
2012,New Jersey,Speech-Language Pathologists,-,-,-,1927.5,51.8,1979.3
2012,New Jersey,Total Special Education Paraprofessionals,15172.43,0,15172.43,-,-,-
2012,New Jersey,Total Special Education Teachers,15719.49,341.15,16060.64,-,-,-
2012,New Mexico,Audiologists,-,-,-,26.06,0,26.06
2012,New Mexico,Counselors and Rehabilitation Counselors,-,-,-,40.15,0,40.15
2012,New Mexico,Interpreters,-,-,-,54.24,0,54.24
2012,New Mexico,Medical/Nursing Service Staff,-,-,-,2.97,0,2.97
2012,New Mexico,Occupational Therapists,-,-,-,260.87,3.55,264.42
2012,New Mexico,Orientation and Mobility Specialists,-,-,-,19.53,2.34,21.87
2012,New Mexico,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,18.58,0.14,18.72
2012,New Mexico,Physical Therapists,-,-,-,109.54,0.66,110.2
2012,New Mexico,Psychologists,-,-,-,406.26,4.73,410.99
2012,New Mexico,Social Workers,-,-,-,368.78,2.15,370.93
2012,New Mexico,Special Education Paraprofessionals for Ages 3-5,265.89,4,269.89,-,-,-
2012,New Mexico,Special Education Paraprofessionals for Ages 6-21,2688.19,43.48,2731.67,-,-,-
2012,New Mexico,Special Education Teachers for Ages 3-5,333.78,2,335.78,-,-,-
2012,New Mexico,Special Education Teachers for Ages 6-21,2081.05,49.6,2130.65,-,-,-
2012,New Mexico,Speech-Language Pathologists,-,-,-,556.14,3.73,559.87
2012,New Mexico,Total Special Education Paraprofessionals,2954.08,47.48,3001.56,-,-,-
2012,New Mexico,Total Special Education Teachers,2414.83,51.6,2466.43,-,-,-
2012,New York,Audiologists,-,-,-,114.36,0,114.36
2012,New York,Counselors and Rehabilitation Counselors,-,-,-,2645.76,14.2,2659.96
2012,New York,Interpreters,-,-,-,406.62,16.5,423.12
2012,New York,Medical/Nursing Service Staff,-,-,-,2678.42,6.88,2685.3
2012,New York,Occupational Therapists,-,-,-,4554.76,25.5,4580.26
2012,New York,Orientation and Mobility Specialists,-,-,-,71.44,0,71.44
2012,New York,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,2091.9,25.3,2117.2
2012,New York,Physical Therapists,-,-,-,2301.4,4.41,2305.81
2012,New York,Psychologists,-,-,-,4913.66,44.7,4958.36
2012,New York,Social Workers,-,-,-,3753.16,36,3789.16
2012,New York,Special Education Paraprofessionals for Ages 3-5,5277.17,603,5880.17,-,-,-
2012,New York,Special Education Paraprofessionals for Ages 6-21,45542.86,1654.98,47197.84,-,-,-
2012,New York,Special Education Teachers for Ages 3-5,4653.53,84.16,4737.69,-,-,-
2012,New York,Special Education Teachers for Ages 6-21,30428.84,706.44,31135.28,-,-,-
2012,New York,Speech-Language Pathologists,-,-,-,8098.65,107.47,8206.12
2012,New York,Total Special Education Paraprofessionals,50820.03,2257.98,53078.01,-,-,-
2012,New York,Total Special Education Teachers,35082.37,790.6,35872.97,-,-,-
2012,North Carolina,Audiologists,-,-,-,73.22,0.16,73.38
2012,North Carolina,Counselors and Rehabilitation Counselors,-,-,-,1201.85,13,1214.85
2012,North Carolina,Interpreters,-,-,-,275.78,10,285.78
2012,North Carolina,Medical/Nursing Service Staff,-,-,-,592.11,6,598.11
2012,North Carolina,Occupational Therapists,-,-,-,532.89,9.43,542.32
2012,North Carolina,Orientation and Mobility Specialists,-,-,-,76.14,0.2,76.34
2012,North Carolina,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,574.4,12.35,586.75
2012,North Carolina,Physical Therapists,-,-,-,224.39,3.8,228.19
2012,North Carolina,Psychologists,-,-,-,862.38,13,875.38
2012,North Carolina,Social Workers,-,-,-,447.76,10,457.76
2012,North Carolina,Special Education Paraprofessionals for Ages 3-5,1233.53,47.75,1281.28,-,-,-
2012,North Carolina,Special Education Paraprofessionals for Ages 6-21,7298.7,485.55,7784.25,-,-,-
2012,North Carolina,Special Education Teachers for Ages 3-5,1040.66,17.5,1058.16,-,-,-
2012,North Carolina,Special Education Teachers for Ages 6-21,10260.2,259.5,10519.7,-,-,-
2012,North Carolina,Speech-Language Pathologists,-,-,-,1864.52,37.2,1901.72
2012,North Carolina,Total Special Education Paraprofessionals,8532.23,533.3,9065.53,-,-,-
2012,North Carolina,Total Special Education Teachers,11300.86,277,11577.86,-,-,-
2012,North Dakota,Audiologists,-,-,-,1.05,0,1.05
2012,North Dakota,Counselors and Rehabilitation Counselors,-,-,-,1,0,1
2012,North Dakota,Interpreters,-,-,-,10,1.88,11.88
2012,North Dakota,Medical/Nursing Service Staff,-,-,-,0,0,0
2012,North Dakota,Occupational Therapists,-,-,-,43.79,0,43.79
2012,North Dakota,Orientation and Mobility Specialists,-,-,-,0.5,0.5,1
2012,North Dakota,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,25.8,0,25.8
2012,North Dakota,Physical Therapists,-,-,-,10.1,0,10.1
2012,North Dakota,Psychologists,-,-,-,22.78,0,22.78
2012,North Dakota,Social Workers,-,-,-,25.54,0,25.54
2012,North Dakota,Special Education Paraprofessionals for Ages 3-5,60.93,9.41,70.34,-,-,-
2012,North Dakota,Special Education Paraprofessionals for Ages 6-21,772.82,96.23,869.05,-,-,-
2012,North Dakota,Special Education Teachers for Ages 3-5,87.5,0,87.5,-,-,-
2012,North Dakota,Special Education Teachers for Ages 6-21,860.49,0,860.49,-,-,-
2012,North Dakota,Speech-Language Pathologists,-,-,-,260.38,0,260.38
2012,North Dakota,Total Special Education Paraprofessionals,833.75,105.64,939.39,-,-,-
2012,North Dakota,Total Special Education Teachers,947.99,0,947.99,-,-,-
2012,Northern Marianas,Audiologists,-,-,-,1,0,1
2012,Northern Marianas,Counselors and Rehabilitation Counselors,-,-,-,0,0,0
2012,Northern Marianas,Interpreters,-,-,-,1,0,1
2012,Northern Marianas,Medical/Nursing Service Staff,-,-,-,-,-,-
2012,Northern Marianas,Occupational Therapists,-,-,-,3,0,3
2012,Northern Marianas,Orientation and Mobility Specialists,-,-,-,0,0,0
2012,Northern Marianas,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,0,0,0
2012,Northern Marianas,Physical Therapists,-,-,-,2,3,5
2012,Northern Marianas,Psychologists,-,-,-,5,0,5
2012,Northern Marianas,Social Workers,-,-,-,2,0,2
2012,Northern Marianas,Special Education Paraprofessionals for Ages 3-5,7,0,7,-,-,-
2012,Northern Marianas,Special Education Paraprofessionals for Ages 6-21,81,0,81,-,-,-
2012,Northern Marianas,Special Education Teachers for Ages 3-5,4,0,4,-,-,-
2012,Northern Marianas,Special Education Teachers for Ages 6-21,34,0,34,-,-,-
2012,Northern Marianas,Speech-Language Pathologists,-,-,-,1,1,2
2012,Northern Marianas,Total Special Education Paraprofessionals,88,0,88,-,-,-
2012,Northern Marianas,Total Special Education Teachers,38,0,38,-,-,-
2012,Ohio,Audiologists,-,-,-,41.33,1.02,42.35
2012,Ohio,Counselors and Rehabilitation Counselors,-,-,-,298.05,1.66,299.71
2012,Ohio,Interpreters,-,-,-,247.43,52.05,299.48
2012,Ohio,Medical/Nursing Service Staff,-,-,-,164.81,15.06,179.87
2012,Ohio,Occupational Therapists,-,-,-,603.13,41.61,644.74
2012,Ohio,Orientation and Mobility Specialists,-,-,-,20.32,2.65,22.97
2012,Ohio,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,69.37,0.36,69.73
2012,Ohio,Physical Therapists,-,-,-,253.55,17.73,271.28
2012,Ohio,Psychologists,-,-,-,697.78,17.53,715.31
2012,Ohio,Social Workers,-,-,-,57.95,8.2,66.15
2012,Ohio,Special Education Paraprofessionals for Ages 3-5,240.02,0,240.02,-,-,-
2012,Ohio,Special Education Paraprofessionals for Ages 6-21,1141.22,0,1141.22,-,-,-
2012,Ohio,Special Education Teachers for Ages 3-5,1411.56,25.44,1437,-,-,-
2012,Ohio,Special Education Teachers for Ages 6-21,15856.72,193.28,16050,-,-,-
2012,Ohio,Speech-Language Pathologists,-,-,-,2208.77,80.84,2289.61
2012,Ohio,Total Special Education Paraprofessionals,1381.24,0,1381.24,-,-,-
2012,Ohio,Total Special Education Teachers,17268.28,218.72,17487,-,-,-
2012,Oklahoma,Audiologists,-,-,-,6.6,0,6.6
2012,Oklahoma,Counselors and Rehabilitation Counselors,-,-,-,76.8,0,76.8
2012,Oklahoma,Interpreters,-,-,-,104.6,6.9,111.5
2012,Oklahoma,Medical/Nursing Service Staff,-,-,-,80.2,8,88.2
2012,Oklahoma,Occupational Therapists,-,-,-,242.4,6.5,248.9
2012,Oklahoma,Orientation and Mobility Specialists,-,-,-,8.6,0,8.6
2012,Oklahoma,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,22.8,0.9,23.7
2012,Oklahoma,Physical Therapists,-,-,-,275.4,1.6,277
2012,Oklahoma,Psychologists,-,-,-,865.2,3,868.2
2012,Oklahoma,Social Workers,-,-,-,38.6,0,38.6
2012,Oklahoma,Special Education Paraprofessionals for Ages 3-5,487.5,81.8,569.3,-,-,-
2012,Oklahoma,Special Education Paraprofessionals for Ages 6-21,3191.7,631.7,3823.4,-,-,-
2012,Oklahoma,Special Education Teachers for Ages 3-5,420,1,421,-,-,-
2012,Oklahoma,Special Education Teachers for Ages 6-21,3317,10,3327,-,-,-
2012,Oklahoma,Speech-Language Pathologists,-,-,-,970.2,9.8,980
2012,Oklahoma,Total Special Education Paraprofessionals,3679.2,713.5,4392.7,-,-,-
