Year,State,Nation_ID,State_ID,Region_ID,Division_ID,Personnel Type,Employed and Certified,Employed but not Certified,Total Employed
2005,Illinois                 ,,17,2,3,Occupational therapists                      ,868,0,868
2005,Illinois                 ,,17,2,3,Audiologists                                 ,35,0,35
2005,Illinois                 ,,17,2,3,Teacher aides                                ,"28,645.00",0,"28,645.00"
2005,Illinois                 ,,17,2,3,Recreation specialists                       ,1,0,1
2005,Illinois                 ,,17,2,3,Diagnostic & evaluation staff                ,19,0,19
2005,Illinois                 ,,17,2,3,Physical therapists                          ,362,0,362
2005,Illinois                 ,,17,2,3,Counselors                                   ,721,222,943
2005,Illinois                 ,,17,2,3,Speech pathologists                          ,          N/V,          N/V,          N/V
2005,Illinois                 ,,17,2,3,Supervisors/administrators                   ,948,3,951
2005,Illinois                 ,,17,2,3,Supervisors/administrators (SEA)             ,62,          N/V,62
2005,Illinois                 ,,17,2,3,Interpreters                                 ,273,0,273
2005,Illinois                 ,,17,2,3,Rehabilitation counselors                    ,12,0,12
2005,Illinois                 ,,17,2,3,Other professional staff                     ,981,101,"1,081.00"
2005,Illinois                 ,,17,2,3,Non-professional staff                       ,"4,783.00",0,"4,783.00"
2005,Illinois                 ,,17,2,3,Total                                        ,"43,192.00",433,"43,625.00"
2005,Indiana                  ,,18,2,3,Special ed teachers for 3-5                  ,"1,176.00",31,"1,207.00"
2005,Indiana                  ,,18,2,3,Special ed teachers for 6-21                 ,"6,023.00","1,016.00","7,039.00"
2005,Indiana                  ,,18,2,3,Vocational education teachers                ,25,5,30
2005,Indiana                  ,,18,2,3,Physical education teachers                  ,24,1,25
2005,Indiana                  ,,18,2,3,Work-study coordinators                      ,13,0,13
2005,Indiana                  ,,18,2,3,Psychologists                                ,491,3,494
2005,Indiana                  ,,18,2,3,School social workers                        ,83,2,85
2005,Indiana                  ,,18,2,3,Occupational therapists                      ,211,5,216
2005,Indiana                  ,,18,2,3,Audiologists                                 ,11,0,11
2005,Indiana                  ,,18,2,3,Teacher aides                                ,"8,155.00",0,"8,155.00"
2005,Indiana                  ,,18,2,3,Recreation specialists                       ,3,0,3
2005,Indiana                  ,,18,2,3,Diagnostic & evaluation staff                ,57,0,57
2005,Indiana                  ,,18,2,3,Physical therapists                          ,122,1,123
2005,Indiana                  ,,18,2,3,Counselors                                   ,24,2,26
2005,Indiana                  ,,18,2,3,Speech pathologists                          ,"1,184.00",51,"1,235.00"
2005,Indiana                  ,,18,2,3,Supervisors/administrators                   ,274,7,281
2005,Indiana                  ,,18,2,3,Supervisors/administrators (SEA)             ,0,0,0
2005,Indiana                  ,,18,2,3,Interpreters                                 ,114,6,120
2005,Indiana                  ,,18,2,3,Rehabilitation counselors                    ,0,0,0
2005,Indiana                  ,,18,2,3,Other professional staff                     ,"1,500.00",0,"1,500.00"
2005,Indiana                  ,,18,2,3,Non-professional staff                       ,0,0,0
2005,Indiana                  ,,18,2,3,Total                                        ,"12,291.00",83,"12,374.00"
2005,Iowa                     ,,19,2,4,Special ed teachers for 3-5                  ,435,0,435
2005,Iowa                     ,,19,2,4,Special ed teachers for 6-21                 ,"5,604.00",0,"5,604.00"
2005,Iowa                     ,,19,2,4,Vocational education teachers                ,20,0,20
2005,Iowa                     ,,19,2,4,Physical education teachers                  ,10,0,10
2005,Iowa                     ,,19,2,4,Work-study coordinators                      ,54,0,54
2005,Iowa                     ,,19,2,4,Psychologists                                ,334,0,334
2005,Iowa                     ,,19,2,4,School social workers                        ,238,0,238
2005,Iowa                     ,,19,2,4,Occupational therapists                      ,75,0,75
2005,Iowa                     ,,19,2,4,Audiologists                                 ,48,0,48
2005,Iowa                     ,,19,2,4,Teacher aides                                ,"6,881.00",0,"6,881.00"
2005,Iowa                     ,,19,2,4,Recreation specialists                       ,4,0,4
2005,Iowa                     ,,19,2,4,Diagnostic & evaluation staff                ,0,0,0
2005,Iowa                     ,,19,2,4,Physical therapists                          ,49,0,49
2005,Iowa                     ,,19,2,4,Counselors                                   ,6,0,6
2005,Iowa                     ,,19,2,4,Speech pathologists                          ,506,0,506
2005,Iowa                     ,,19,2,4,Supervisors/administrators                   ,184,0,184
2005,Iowa                     ,,19,2,4,Supervisors/administrators (SEA)             ,35,0,35
2005,Iowa                     ,,19,2,4,Interpreters                                 ,132,0,132
2005,Iowa                     ,,19,2,4,Rehabilitation counselors                    ,4,0,4
2005,Iowa                     ,,19,2,4,Other professional staff                     ,494,0,494
2005,Iowa                     ,,19,2,4,Non-professional staff                       ,580,0,580
2005,Iowa                     ,,19,2,4,Total                                        ,"9,655.00",0,"9,655.00"
2005,Kansas                   ,,20,2,4,Special ed teachers for 3-5                  ,437,19,456
2005,Kansas                   ,,20,2,4,Special ed teachers for 6-21                 ,"3,570.00",240,"3,810.00"
2005,Kansas                   ,,20,2,4,Vocational education teachers                ,59,0,59
2005,Kansas                   ,,20,2,4,Physical education teachers                  ,50,0,50
2005,Kansas                   ,,20,2,4,Work-study coordinators                      ,14,0,14
2005,Kansas                   ,,20,2,4,Psychologists                                ,484,0,484
2005,Kansas                   ,,20,2,4,School social workers                        ,243,0,243
2005,Kansas                   ,,20,2,4,Occupational therapists                      ,198,0,198
2005,Kansas                   ,,20,2,4,Audiologists                                 ,23,0,23
2005,Kansas                   ,,20,2,4,Teacher aides                                ,"9,972.00",0,"9,972.00"
2005,Kansas                   ,,20,2,4,Recreation specialists                       ,1,0,1
2005,Kansas                   ,,20,2,4,Diagnostic & evaluation staff                ,2,0,2
2005,Kansas                   ,,20,2,4,Physical therapists                          ,85,0,85
2005,Kansas                   ,,20,2,4,Counselors                                   ,41,0,41
2005,Kansas                   ,,20,2,4,Speech pathologists                          ,755,0,755
2005,Kansas                   ,,20,2,4,Supervisors/administrators                   ,170,0,170
2005,Kansas                   ,,20,2,4,Supervisors/administrators (SEA)             ,18,0,18
2005,Kansas                   ,,20,2,4,Interpreters                                 ,45,0,45
2005,Kansas                   ,,20,2,4,Rehabilitation counselors                    ,1,0,1
2005,Kansas                   ,,20,2,4,Other professional staff                     ,          N/V,          N/V,          N/V
2005,Kansas                   ,,20,2,4,Non-professional staff                       ,198,0,198
2005,Kansas                   ,,20,2,4,Total                                        ,"12,358.00",0,"12,358.00"
2005,Kentucky                 ,,21,3,6,Special ed teachers for 3-5                  ,299,27,326
2005,Kentucky                 ,,21,3,6,Special ed teachers for 6-21                 ,"5,801.00",587,"6,388.00"
2005,Kentucky                 ,,21,3,6,Vocational education teachers                ,41,0,41
2005,Kentucky                 ,,21,3,6,Physical education teachers                  ,16,0,16
2005,Kentucky                 ,,21,3,6,Work-study coordinators                      ,48,4,52
2005,Kentucky                 ,,21,3,6,Psychologists                                ,332,14,346
2005,Kentucky                 ,,21,3,6,School social workers                        ,22,1,23
2005,Kentucky                 ,,21,3,6,Occupational therapists                      ,199,5,203
2005,Kentucky                 ,,21,3,6,Audiologists                                 ,15,0,15
2005,Kentucky                 ,,21,3,6,Teacher aides                                ,"5,132.00",77,"5,209.00"
2005,Kentucky                 ,,21,3,6,Recreation specialists                       ,5,0,5
2005,Kentucky                 ,,21,3,6,Diagnostic & evaluation staff                ,103,1,103
2005,Kentucky                 ,,21,3,6,Physical therapists                          ,103,6,109
2005,Kentucky                 ,,21,3,6,Counselors                                   ,237,1,238
2005,Kentucky                 ,,21,3,6,Speech pathologists                          ,984,70,"1,053.00"
2005,Kentucky                 ,,21,3,6,Supervisors/administrators                   ,212,0,212
2005,Kentucky                 ,,21,3,6,Supervisors/administrators (SEA)             ,0,0,0
2005,Kentucky                 ,,21,3,6,Interpreters                                 ,90,12,102
2005,Kentucky                 ,,21,3,6,Rehabilitation counselors                    ,11,0,11
2005,Kentucky                 ,,21,3,6,Other professional staff                     ,264,2,266
2005,Kentucky                 ,,21,3,6,Non-professional staff                       ,547,3,551
2005,Kentucky                 ,,21,3,6,Total                                        ,"8,358.00",196,"8,554.00"
2005,Louisiana                ,,22,3,7,Special ed teachers for 3-5                  ,776,169,945
2005,Louisiana                ,,22,3,7,Special ed teachers for 6-21                 ,"5,100.00","1,065.00","6,166.00"
2005,Louisiana                ,,22,3,7,Vocational education teachers                ,43,2,45
2005,Louisiana                ,,22,3,7,Physical education teachers                  ,341,18,359
2005,Louisiana                ,,22,3,7,Work-study coordinators                      ,13,1,14
2005,Louisiana                ,,22,3,7,Psychologists                                ,307,1,308
2005,Louisiana                ,,22,3,7,School social workers                        ,266,4,270
2005,Louisiana                ,,22,3,7,Occupational therapists                      ,144,1,145
2005,Louisiana                ,,22,3,7,Audiologists                                 ,22,0,22
2005,Louisiana                ,,22,3,7,Teacher aides                                ,"5,649.00",267,"5,916.00"
2005,Louisiana                ,,22,3,7,Recreation specialists                       ,5,0,5
2005,Louisiana                ,,22,3,7,Diagnostic & evaluation staff                ,344,0,344
2005,Louisiana                ,,22,3,7,Physical therapists                          ,70,0,70
2005,Louisiana                ,,22,3,7,Counselors                                   ,57,0,57
2005,Louisiana                ,,22,3,7,Speech pathologists                          ,"1,007.00",7,"1,014.00"
2005,Louisiana                ,,22,3,7,Supervisors/administrators                   ,227,3,230
2005,Louisiana                ,,22,3,7,Supervisors/administrators (SEA)             ,57,0,57
2005,Louisiana                ,,22,3,7,Interpreters                                 ,120,17,137
2005,Louisiana                ,,22,3,7,Rehabilitation counselors                    ,0,0,0
2005,Louisiana                ,,22,3,7,Other professional staff                     ,547,30,577
2005,Louisiana                ,,22,3,7,Non-professional staff                       ,"1,117.00",31,"1,148.00"
2005,Louisiana                ,,22,3,7,Total                                        ,"10,333.00",382,"10,715.00"
2005,Maine                    ,,23,1,1,Special ed teachers for 3-5                  ,272,          N/V,272
2005,Maine                    ,,23,1,1,Special ed teachers for 6-21                 ,"2,503.00",173,"2,677.00"
2005,Maine                    ,,23,1,1,Vocational education teachers                ,6,0,6
2005,Maine                    ,,23,1,1,Physical education teachers                  ,13,1,13
2005,Maine                    ,,23,1,1,Work-study coordinators                      ,3,0,3
2005,Maine                    ,,23,1,1,Psychologists                                ,143,0,143
2005,Maine                    ,,23,1,1,School social workers                        ,177,0,177
2005,Maine                    ,,23,1,1,Occupational therapists                      ,204,1,205
2005,Maine                    ,,23,1,1,Audiologists                                 ,19,1,20
2005,Maine                    ,,23,1,1,Teacher aides                                ,"3,871.00",21,"3,892.00"
2005,Maine                    ,,23,1,1,Recreation specialists                       ,9,0,9
2005,Maine                    ,,23,1,1,Diagnostic & evaluation staff                ,74,1,75
2005,Maine                    ,,23,1,1,Physical therapists                          ,76,0,76
2005,Maine                    ,,23,1,1,Counselors                                   ,34,0,34
2005,Maine                    ,,23,1,1,Speech pathologists                          ,0,0,0
2005,Maine                    ,,23,1,1,Supervisors/administrators                   ,147,7,154
2005,Maine                    ,,23,1,1,Supervisors/administrators (SEA)             ,16,0,16
2005,Maine                    ,,23,1,1,Interpreters                                 ,37,0,37
2005,Maine                    ,,23,1,1,Rehabilitation counselors                    ,3,0,3
2005,Maine                    ,,23,1,1,Other professional staff                     ,178,3,181
2005,Maine                    ,,23,1,1,Non-professional staff                       ,144,0,145
2005,Maine                    ,,23,1,1,Total                                        ,"5,155.00",35,"5,190.00"
2005,Maryland                 ,,24,3,5,Special ed teachers for 3-5                  ,444,42,486
2005,Maryland                 ,,24,3,5,Special ed teachers for 6-21                 ,"6,063.00","1,388.00","7,450.00"
2005,Maryland                 ,,24,3,5,Vocational education teachers                ,99,18,117
2005,Maryland                 ,,24,3,5,Physical education teachers                  ,567,26,593
2005,Maryland                 ,,24,3,5,Work-study coordinators                      ,31,9,40
2005,Maryland                 ,,24,3,5,Psychologists                                ,402,28,430
2005,Maryland                 ,,24,3,5,School social workers                        ,438,2,439
2005,Maryland                 ,,24,3,5,Occupational therapists                      ,289,11,300
2005,Maryland                 ,,24,3,5,Audiologists                                 ,32,0,32
2005,Maryland                 ,,24,3,5,Teacher aides                                ,"6,691.00",0,"6,691.00"
2005,Maryland                 ,,24,3,5,Recreation specialists                       ,5,0,5
2005,Maryland                 ,,24,3,5,Diagnostic & evaluation staff                ,402,32,434
2005,Maryland                 ,,24,3,5,Physical therapists                          ,147,4,151
2005,Maryland                 ,,24,3,5,Counselors                                   ,310,11,321
2005,Maryland                 ,,24,3,5,Speech pathologists                          ,"1,165.00",95,"1,260.00"
2005,Maryland                 ,,24,3,5,Supervisors/administrators                   ,359,22,381
2005,Maryland                 ,,24,3,5,Supervisors/administrators (SEA)             ,0,0,0
2005,Maryland                 ,,24,3,5,Interpreters                                 ,105,35,140
2005,Maryland                 ,,24,3,5,Rehabilitation counselors                    ,1,0,1
2005,Maryland                 ,,24,3,5,Other professional staff                     ,719,68,787
2005,Maryland                 ,,24,3,5,Non-professional staff                       ,745,31,776
2005,Maryland                 ,,24,3,5,Total                                        ,"12,507.00",391,"12,898.00"
2005,Massachusetts            ,,25,1,1,Special ed teachers for 3-5                  ,"10,351.00",965,"11,317.00"
2005,Massachusetts            ,,25,1,1,Special ed teachers for 6-21                 ,"9,521.00",958,"10,478.00"
2005,Massachusetts            ,,25,1,1,Vocational education teachers                ,96,6,102
2005,Massachusetts            ,,25,1,1,Physical education teachers                  ,145,10,155
2005,Massachusetts            ,,25,1,1,Work-study coordinators                      ,0,11,11
2005,Massachusetts            ,,25,1,1,Psychologists                                ,244,4,248
2005,Massachusetts            ,,25,1,1,School social workers                        ,70,3,72
2005,Massachusetts            ,,25,1,1,Occupational therapists                      ,0,502,502
2005,Massachusetts            ,,25,1,1,Audiologists                                 ,0,11,11
2005,Massachusetts            ,,25,1,1,Teacher aides                                ,0,"14,440.00","14,440.00"
2005,Massachusetts            ,,25,1,1,Recreation specialists                       ,0,11,11
2005,Massachusetts            ,,25,1,1,Diagnostic & evaluation staff                ,0,412,412
2005,Massachusetts            ,,25,1,1,Physical therapists                          ,0,194,194
2005,Massachusetts            ,,25,1,1,Counselors                                   ,207,2,209
2005,Massachusetts            ,,25,1,1,Speech pathologists                          ,0,545,545
2005,Massachusetts            ,,25,1,1,Supervisors/administrators                   ,426,46,472
2005,Massachusetts            ,,25,1,1,Supervisors/administrators (SEA)             ,          N/V,          N/V,          N/V
2005,Massachusetts            ,,25,1,1,Interpreters                                 ,0,28,28
2005,Massachusetts            ,,25,1,1,Rehabilitation counselors                    ,0,6,6
2005,Massachusetts            ,,25,1,1,Other professional staff                     ,948,"1,165.00","2,113.00"
2005,Massachusetts            ,,25,1,1,Non-professional staff                       ,0,827,827
2005,Massachusetts            ,,25,1,1,Total                                        ,"2,135.00","18,223.00","20,359.00"
2005,Michigan                 ,,26,2,3,Special ed teachers for 3-5                  ,693,120,813
2005,Michigan                 ,,26,2,3,Special ed teachers for 6-21                 ,"11,968.00","1,827.00","13,795.00"
2005,Michigan                 ,,26,2,3,Vocational education teachers                ,0,0,0
2005,Michigan                 ,,26,2,3,Physical education teachers                  ,74,8,82
2005,Michigan                 ,,26,2,3,Work-study coordinators                      ,36,11,46
2005,Michigan                 ,,26,2,3,Psychologists                                ,987,52,"1,039.00"
2005,Michigan                 ,,26,2,3,School social workers                        ,"1,563.00",180,"1,742.00"
2005,Michigan                 ,,26,2,3,Occupational therapists                      ,557,37,594
2005,Michigan                 ,,26,2,3,Audiologists                                 ,36,4,40
2005,Michigan                 ,,26,2,3,Teacher aides                                ,"3,698.00",0,"3,698.00"
2005,Michigan                 ,,26,2,3,Recreation specialists                       ,0,0,0
2005,Michigan                 ,,26,2,3,Diagnostic & evaluation staff                ,0,0,0
2005,Michigan                 ,,26,2,3,Physical therapists                          ,297,28,325
2005,Michigan                 ,,26,2,3,Counselors                                   ,0,0,0
2005,Michigan                 ,,26,2,3,Speech pathologists                          ,"1,885.00",173,"2,058.00"
2005,Michigan                 ,,26,2,3,Supervisors/administrators                   ,363,103,467
2005,Michigan                 ,,26,2,3,Supervisors/administrators (SEA)             ,28,0,28
2005,Michigan                 ,,26,2,3,Interpreters                                 ,28,42,70
2005,Michigan                 ,,26,2,3,Rehabilitation counselors                    ,0,0,0
2005,Michigan                 ,,26,2,3,Other professional staff                     ,391,12,403
2005,Michigan                 ,,26,2,3,Non-professional staff                       ,66,0,66
2005,Michigan                 ,,26,2,3,Total                                        ,"10,010.00",650,"10,660.00"
2005,Minnesota                ,,27,2,4,Special ed teachers for 3-5                  ,279,12,291
2005,Minnesota                ,,27,2,4,Special ed teachers for 6-21                 ,"8,048.00",347,"8,395.00"
2005,Minnesota                ,,27,2,4,Vocational education teachers                ,25,0,25
2005,Minnesota                ,,27,2,4,Physical education teachers                  ,357,9,365
2005,Minnesota                ,,27,2,4,Work-study coordinators                      ,159,0,159
2005,Minnesota                ,,27,2,4,Psychologists                                ,620,1,621
2005,Minnesota                ,,27,2,4,School social workers                        ,0,791,791
2005,Minnesota                ,,27,2,4,Occupational therapists                      ,0,517,517
2005,Minnesota                ,,27,2,4,Audiologists                                 ,0,55,55
2005,Minnesota                ,,27,2,4,Teacher aides                                ,0,"11,987.00","11,987.00"
2005,Minnesota                ,,27,2,4,Recreation specialists                       ,0,0,0
2005,Minnesota                ,,27,2,4,Diagnostic & evaluation staff                ,0,0,0
2005,Minnesota                ,,27,2,4,Physical therapists                          ,0,159,159
2005,Minnesota                ,,27,2,4,Counselors                                   ,42,0,42
2005,Minnesota                ,,27,2,4,Speech pathologists                          ,"1,647.00",1,"1,647.00"
2005,Minnesota                ,,27,2,4,Supervisors/administrators                   ,188,0,188
2005,Minnesota                ,,27,2,4,Supervisors/administrators (SEA)             ,86,0,86
2005,Minnesota                ,,27,2,4,Interpreters                                 ,0,206,206
2005,Minnesota                ,,27,2,4,Rehabilitation counselors                    ,0,0,0
2005,Minnesota                ,,27,2,4,Other professional staff                     ,0,627,627
2005,Minnesota                ,,27,2,4,Non-professional staff                       ,0,535,535
2005,Minnesota                ,,27,2,4,Total                                        ,"3,122.00","14,888.00","18,009.00"
2005,Mississippi              ,,28,3,6,Special ed teachers for 3-5                  ,595,38,633
2005,Mississippi              ,,28,28,3,6,"3,735.00",35,"3,770.00"
2005,Mississippi              ,,28,3,6,Vocational education teachers                ,2,10,12
2005,Mississippi              ,,28,3,6,Physical education teachers                  ,721,55,776
2005,Mississippi              ,,28,3,6,Work-study coordinators                      ,18,2,20
2005,Mississippi              ,,28,3,6,Psychologists                                ,24,0,24
2005,Mississippi              ,,28,3,6,School social workers                        ,4,0,4
2005,Mississippi              ,,28,3,6,Occupational therapists                      ,24,0,24
2005,Mississippi              ,,28,3,6,Audiologists                                 ,2,0,2
2005,Mississippi              ,,28,3,6,Teacher aides                                ,"1,357.00",0,"1,357.00"
2005,Mississippi              ,,28,3,6,Recreation specialists                       ,38,1,40
2005,Mississippi              ,,28,3,6,Diagnostic & evaluation staff                ,138,0,138
2005,Mississippi              ,,28,3,6,Physical therapists                          ,0,17,17
2005,Mississippi              ,,28,3,6,Counselors                                   ,13,0,13
2005,Mississippi              ,,28,3,6,Speech pathologists                          ,402,48,449
2005,Mississippi              ,,28,3,6,Supervisors/administrators                   ,153,1,154
2005,Mississippi              ,,28,3,6,Supervisors/administrators (SEA)             ,0,0,0
2005,Mississippi              ,,28,3,6,Interpreters                                 ,49,0,49
2005,Mississippi              ,,28,3,6,Rehabilitation counselors                    ,0,0,0
2005,Mississippi              ,,28,3,6,Other professional staff                     ,30,0,30
2005,Mississippi              ,,28,3,6,Non-professional staff                       ,531,0,531
2005,Mississippi              ,,28,3,6,Total                                        ,"3,506.00",134,"3,640.00"
2005,Missouri                 ,,29,2,4,Special ed teachers for 3-5                  ,814,13,827
2005,Missouri                 ,,29,2,4,Special ed teachers for 6-21                 ,"8,924.00",186,"9,110.00"
2005,Missouri                 ,,29,2,4,Vocational education teachers                ,57,0,57
2005,Missouri                 ,,29,2,4,Physical education teachers                  ,30,0,30
2005,Missouri                 ,,29,2,4,Work-study coordinators                      ,45,0,45
2005,Missouri                 ,,29,2,4,Psychologists                                ,139,0,139
2005,Missouri                 ,,29,2,4,School social workers                        ,114,0,114
2005,Missouri                 ,,29,2,4,Occupational therapists                      ,263,0,263
2005,Missouri                 ,,29,2,4,Audiologists                                 ,17,0,17
2005,Missouri                 ,,29,2,4,Teacher aides                                ,"8,287.00",0,"8,287.00"
2005,Missouri                 ,,29,2,4,Recreation specialists                       ,          N/V,          N/V,          N/V
2005,Missouri                 ,,29,2,4,Diagnostic & evaluation staff                ,141,0,141
2005,Missouri                 ,,29,2,4,Physical therapists                          ,78,0,78
2005,Missouri                 ,,29,2,4,Counselors                                   ,3,0,3
2005,Missouri                 ,,29,2,4,Speech pathologists                          ,78,0,78
2005,Missouri                 ,,29,2,4,Supervisors/administrators                   ,383,0,383
2005,Missouri                 ,,29,2,4,Supervisors/administrators (SEA)             ,26,0,26
2005,Missouri                 ,,29,2,4,Interpreters                                 ,172,0,172
2005,Missouri                 ,,29,2,4,Rehabilitation counselors                    ,          N/V,          N/V,          N/V
2005,Missouri                 ,,29,2,4,Other professional staff                     ,211,0,211
2005,Missouri                 ,,29,2,4,Non-professional staff                       ,          N/V,          N/V,          N/V
2005,Missouri                 ,,29,2,4,Total                                        ,"10,043.00",0,"10,043.00"
2005,Montana                  ,,30,4,8,Special ed teachers for 3-5                  ,90,3,93
2005,Montana                  ,,30,4,8,Special ed teachers for 6-21                 ,809,24,834
2005,Montana                  ,,30,4,8,Vocational education teachers                ,5,0,5
2005,Montana                  ,,30,4,8,Physical education teachers                  ,7,0,7
2005,Montana                  ,,30,4,8,Work-study coordinators                      ,0,0,0
2005,Montana                  ,,30,4,8,Psychologists                                ,125,0,125
2005,Montana                  ,,30,4,8,School social workers                        ,33,0,33
2005,Montana                  ,,30,4,8,Occupational therapists                      ,28,0,28
2005,Montana                  ,,30,4,8,Audiologists                                 ,4,0,4
2005,Montana                  ,,30,4,8,Teacher aides                                ,"1,153.00",0,"1,153.00"
2005,Montana                  ,,30,4,8,Recreation specialists                       ,2,0,2
2005,Montana                  ,,30,4,8,Diagnostic & evaluation staff                ,1,0,1
2005,Montana                  ,,30,4,8,Physical therapists                          ,20,0,20
2005,Montana                  ,,30,4,8,Counselors                                   ,1,0,1
2005,Montana                  ,,30,4,8,Speech pathologists                          ,168,0,168
2005,Montana                  ,,30,4,8,Supervisors/administrators                   ,39,0,39
2005,Montana                  ,,30,4,8,Supervisors/administrators (SEA)             ,21,0,21
2005,Montana                  ,,30,4,8,Interpreters                                 ,32,0,32
2005,Montana                  ,,30,4,8,Rehabilitation counselors                    ,0,0,0
2005,Montana                  ,,30,4,8,Other professional staff                     ,60,0,60
2005,Montana                  ,,30,4,8,Non-professional staff                       ,208,0,208
2005,Montana                  ,,30,4,8,Total                                        ,"1,906.00",0,"1,906.00"
2005,Nebraska                 ,,31,2,4,Special ed teachers for 3-5                  ,262,5,267
2005,Nebraska                 ,,31,2,4,Special ed teachers for 6-21                 ,"2,265.00",35,"2,301.00"
2005,Nebraska                 ,,31,2,4,Vocational education teachers                ,          N/V,          N/V,          N/V
2005,Nebraska                 ,,31,2,4,Physical education teachers                  ,          N/V,          N/V,          N/V
2005,Nebraska                 ,,31,2,4,Work-study coordinators                      ,3,1,4
2005,Nebraska                 ,,31,2,4,Psychologists                                ,125,1,126
2005,Nebraska                 ,,31,2,4,School social workers                        ,0,0,0
2005,Nebraska                 ,,31,2,4,Occupational therapists                      ,31,8,39
2005,Nebraska                 ,,31,2,4,Audiologists                                 ,7,0,7
2005,Nebraska                 ,,31,2,4,Teacher aides                                ,"2,728.00",0,"2,728.00"
2005,Nebraska                 ,,31,2,4,Recreation specialists                       ,          N/V,          N/V,          N/V
2005,Nebraska                 ,,31,2,4,Diagnostic & evaluation staff                ,84,13,97
2005,Nebraska                 ,,31,2,4,Physical therapists                          ,17,0,17
2005,Nebraska                 ,,31,2,4,Counselors                                   ,5,1,6
2005,Nebraska                 ,,31,2,4,Speech pathologists                          ,525,10,535
2005,Nebraska                 ,,31,2,4,Supervisors/administrators                   ,14,14,28
2005,Nebraska                 ,,31,2,4,Supervisors/administrators (SEA)             ,17,0,17
2005,Nebraska                 ,,31,2,4,Interpreters                                 ,0,72,72
2005,Nebraska                 ,,31,2,4,Rehabilitation counselors                    ,          N/V,          N/V,          N/V
2005,Nebraska                 ,,31,2,4,Other professional staff                     ,1,0,1
2005,Nebraska                 ,,31,2,4,Non-professional staff                       ,          N/V,          N/V,          N/V
2005,Nebraska                 ,,31,2,4,Total                                        ,"3,557.00",119,"3,676.00"
2005,Nevada                   ,,32,4,8,Special ed teachers for 3-5                  ,222,126,348
2005,Nevada                   ,,32,4,8,Special ed teachers for 6-21                 ,"1,972.00",495,"2,467.00"
2005,Nevada                   ,,32,4,8,Vocational education teachers                ,14,1,15
2005,Nevada                   ,,32,4,8,Physical education teachers                  ,68,9,77
2005,Nevada                   ,,32,4,8,Work-study coordinators                      ,1,0,1
2005,Nevada                   ,,32,4,8,Psychologists                                ,212,0,212
2005,Nevada                   ,,32,4,8,School social workers                        ,11,0,11
2005,Nevada                   ,,32,4,8,Occupational therapists                      ,91,0,91
2005,Nevada                   ,,32,4,8,Audiologists                                 ,5,0,5
2005,Nevada                   ,,32,4,8,Teacher aides                                ,"1,769.00",187,"1,957.00"
2005,Nevada                   ,,32,4,8,Recreation specialists                       ,0,0,0
2005,Nevada                   ,,32,4,8,Diagnostic & evaluation staff                ,4,3,7
2005,Nevada                   ,,32,4,8,Physical therapists                          ,39,0,39
2005,Nevada                   ,,32,4,8,Counselors                                   ,244,2,246
2005,Nevada                   ,,32,4,8,Speech pathologists                          ,387,0,387
2005,Nevada                   ,,32,4,8,Supervisors/administrators                   ,134,1,135
2005,Nevada                   ,,32,4,8,Supervisors/administrators (SEA)             ,0,0,0
2005,Nevada                   ,,32,4,8,Interpreters                                 ,40,20,60
2005,Nevada                   ,,32,4,8,Rehabilitation counselors                    ,0,0,0
2005,Nevada                   ,,32,4,8,Other professional staff                     ,391,10,401
2005,Nevada                   ,,32,4,8,Non-professional staff                       ,52,10,62
2005,Nevada                   ,,32,4,8,Total                                        ,"3,462.00",243,"3,705.00"
2005,New Hampshire            ,,33,1,1,Special ed teachers for 3-5                  ,114,32,146
2005,New Hampshire            ,,33,1,1,Special ed teachers for 6-21                 ,"1,726.00",405,"2,131.00"
2005,New Hampshire            ,,33,1,1,Vocational education teachers                ,10,6,16
2005,New Hampshire            ,,33,1,1,Physical education teachers                  ,49,5,54
2005,New Hampshire            ,,33,1,1,Work-study coordinators                      ,29,7,36
2005,New Hampshire            ,,33,1,1,Psychologists                                ,96,1,97
2005,New Hampshire            ,,33,1,1,School social workers                        ,47,11,58
2005,New Hampshire            ,,33,1,1,Occupational therapists                      ,208,0,208
2005,New Hampshire            ,,33,1,1,Audiologists                                 ,2,0,2
2005,New Hampshire            ,,33,1,1,Teacher aides                                ,"4,857.00",672,"5,529.00"
2005,New Hampshire            ,,33,1,1,Recreation specialists                       ,10,0,10
2005,New Hampshire            ,,33,1,1,Diagnostic & evaluation staff                ,192,3,195
2005,New Hampshire            ,,33,1,1,Physical therapists                          ,62,0,62
2005,New Hampshire            ,,33,1,1,Counselors                                   ,188,9,197
2005,New Hampshire            ,,33,1,1,Speech pathologists                          ,365,4,369
2005,New Hampshire            ,,33,1,1,Supervisors/administrators                   ,306,31,336
2005,New Hampshire            ,,33,1,1,Supervisors/administrators (SEA)             ,13,3,16
2005,New Hampshire            ,,33,1,1,Interpreters                                 ,29,15,44
2005,New Hampshire            ,,33,1,1,Rehabilitation counselors                    ,13,0,13
2005,New Hampshire            ,,33,1,1,Other professional staff                     ,528,65,593
2005,New Hampshire            ,,33,1,1,Non-professional staff                       ,626,3,629
2005,New Hampshire            ,,33,1,1,Total                                        ,"7,630.00",833,"8,463.00"
2005,New Jersey               ,,34,1,2,Special ed teachers for 3-5                  ,"1,071.00",19,"1,090.00"
